id;date_text;event_ref;context
d11;1 января 1863 г.;;"8 В. Дворянство В Енисейской губернии находятся два дворянских имения, которые нигде не заложены. Г. Городские обыватели Свидетельств на право торговли в 1864 г. взято: местными купцами: 1-й гильдии — 35, 2-й гильдии — 285; иногородними и временно торгующими: 1-й гильдии — 9, 2-й гильдии — 40. На основании Высочайше утвержденного положения 1 января 1863 г. капиталов при взятии гильдейских свидетельств объявляемо не было. Д. Торговля Торговля в Енисейской губернии незначительна и ограничивается только распродажей местным жителям самых необходимых предметов, закупаемых на Нижегородской и Ирбитской ярмарках. Е. Промышленность Главнейший промысел собственно жителей Енисейской губернии заключается в работах на золотых промыслах, поставке на оные собственных своих земледельческих произведений и разных тяжестей и также перевозке чаев и товаров, составляющих предметы Кяхтинской торговли. Звериный промысел с развитием золотопромышленности постоянно уменьшается, потому что при занятии и разработке мест, никем прежде не обитаемых, вытесняемый постоянно зверь удалился в глубину тайги или перешел в смежные губернии. Значительная часть звероловов из крестьян совершенно оставили этот промысел, другие же, и преимущественно из инородцев, занимаются таковым в местах, отдаленных от их жилищ на 1 000 и более верст, но, несмотря на то, улов зверя едва вознаграждает труд промышленников. Рыбный промысел с открытием пароходства по реке Енисей, обеспечивающего сообщение с Туруханским краем, начинает увеличиваться."
d12;1864 г.;;"9 Ж. Заводы В Енисейской губернии существует, в селе Троицком, казенный солеваренный завод и при оном молотовая фабрика для выплавки руды и выделки железа и 134 частных фабрик и заводов. В 1864 г. на Троицком заводе выварено соли 104 834 пуда на 63 190 руб. и получено разных сортов железа 691 пуд 26 фун. на 1 500, на всех же частных заводах и фабриках выработано изделий на 1 213 562 руб. 28 коп., против 1863 г. более на 705 777 руб. 89 1/4 коп., в то число 718 294 руб. 891/4 коп. более — на пяти винокуренных заводах, и 12 517 руб. менее на всех остальных частных заводах и фабриках. Частные заводы и фабрики, за исключением винокуренных, весьма незначительны и по качеству своих изделий требуют больших улучшений. Ведомость о фабриках и заводах приложена под № 17. К числу сего рода заведений должна быть отнесена добыча золота и ломка графита на частных приисках. В 1864 г. производились работы на 143, а заработка и разведка на 139 частных золотых промыслах. Золота получено 593 пуд. 6 фун. 21 зол. и 57 дол. Против 1863 г. получено золота менее 11 пуд. 36 фун. 33 зол. и 1 дол. Добыча золота производилась прежде усвоенным способом. Золотосодержащие пески промывались на железных бочках, чашах, воронках, бутарах и с помощью изобретенного губернским секретарем Лопатиным «песковоза», а также решеток, заимствованных Пакулевым из американского способа промывки. На частных золотых промыслах в 1864 г. находилось рабочих: сибирских губерний:  мещан, крестьян — 6 178;  ссыльнопоселенцев — 11 751; великороссийских губерний:  мещан, крестьян и разночинцев — 2 098. Итого: 20 027."
d13;1863 г.;;"9 Ж. Заводы В Енисейской губернии существует, в селе Троицком, казенный солеваренный завод и при оном молотовая фабрика для выплавки руды и выделки железа и 134 частных фабрик и заводов. В 1864 г. на Троицком заводе выварено соли 104 834 пуда на 63 190 руб. и получено разных сортов железа 691 пуд 26 фун. на 1 500, на всех же частных заводах и фабриках выработано изделий на 1 213 562 руб. 28 коп., против 1863 г. более на 705 777 руб. 89 1/4 коп., в то число 718 294 руб. 891/4 коп. более — на пяти винокуренных заводах, и 12 517 руб. менее на всех остальных частных заводах и фабриках. Частные заводы и фабрики, за исключением винокуренных, весьма незначительны и по качеству своих изделий требуют больших улучшений. Ведомость о фабриках и заводах приложена под № 17. К числу сего рода заведений должна быть отнесена добыча золота и ломка графита на частных приисках. В 1864 г. производились работы на 143, а заработка и разведка на 139 частных золотых промыслах. Золота получено 593 пуд. 6 фун. 21 зол. и 57 дол. Против 1863 г. получено золота менее 11 пуд. 36 фун. 33 зол. и 1 дол. Добыча золота производилась прежде усвоенным способом. Золотосодержащие пески промывались на железных бочках, чашах, воронках, бутарах и с помощью изобретенного губернским секретарем Лопатиным «песковоза», а также решеток, заимствованных Пакулевым из американского способа промывки. На частных золотых промыслах в 1864 г. находилось рабочих: сибирских губерний:  мещан, крестьян — 6 178;  ссыльнопоселенцев — 11 751; великороссийских губерний:  мещан, крестьян и разночинцев — 2 098. Итого: 20 027."
d14;1864 г.;;"9 Ж. Заводы В Енисейской губернии существует, в селе Троицком, казенный солеваренный завод и при оном молотовая фабрика для выплавки руды и выделки железа и 134 частных фабрик и заводов. В 1864 г. на Троицком заводе выварено соли 104 834 пуда на 63 190 руб. и получено разных сортов железа 691 пуд 26 фун. на 1 500, на всех же частных заводах и фабриках выработано изделий на 1 213 562 руб. 28 коп., против 1863 г. более на 705 777 руб. 89 1/4 коп., в то число 718 294 руб. 891/4 коп. более — на пяти винокуренных заводах, и 12 517 руб. менее на всех остальных частных заводах и фабриках. Частные заводы и фабрики, за исключением винокуренных, весьма незначительны и по качеству своих изделий требуют больших улучшений. Ведомость о фабриках и заводах приложена под № 17. К числу сего рода заведений должна быть отнесена добыча золота и ломка графита на частных приисках. В 1864 г. производились работы на 143, а заработка и разведка на 139 частных золотых промыслах. Золота получено 593 пуд. 6 фун. 21 зол. и 57 дол. Против 1863 г. получено золота менее 11 пуд. 36 фун. 33 зол. и 1 дол. Добыча золота производилась прежде усвоенным способом. Золотосодержащие пески промывались на железных бочках, чашах, воронках, бутарах и с помощью изобретенного губернским секретарем Лопатиным «песковоза», а также решеток, заимствованных Пакулевым из американского способа промывки. На частных золотых промыслах в 1864 г. находилось рабочих: сибирских губерний:  мещан, крестьян — 6 178;  ссыльнопоселенцев — 11 751; великороссийских губерний:  мещан, крестьян и разночинцев — 2 098. Итого: 20 027."
d15;1863 г.;;"9 Ж. Заводы В Енисейской губернии существует, в селе Троицком, казенный солеваренный завод и при оном молотовая фабрика для выплавки руды и выделки железа и 134 частных фабрик и заводов. В 1864 г. на Троицком заводе выварено соли 104 834 пуда на 63 190 руб. и получено разных сортов железа 691 пуд 26 фун. на 1 500, на всех же частных заводах и фабриках выработано изделий на 1 213 562 руб. 28 коп., против 1863 г. более на 705 777 руб. 89 1/4 коп., в то число 718 294 руб. 891/4 коп. более — на пяти винокуренных заводах, и 12 517 руб. менее на всех остальных частных заводах и фабриках. Частные заводы и фабрики, за исключением винокуренных, весьма незначительны и по качеству своих изделий требуют больших улучшений. Ведомость о фабриках и заводах приложена под № 17. К числу сего рода заведений должна быть отнесена добыча золота и ломка графита на частных приисках. В 1864 г. производились работы на 143, а заработка и разведка на 139 частных золотых промыслах. Золота получено 593 пуд. 6 фун. 21 зол. и 57 дол. Против 1863 г. получено золота менее 11 пуд. 36 фун. 33 зол. и 1 дол. Добыча золота производилась прежде усвоенным способом. Золотосодержащие пески промывались на железных бочках, чашах, воронках, бутарах и с помощью изобретенного губернским секретарем Лопатиным «песковоза», а также решеток, заимствованных Пакулевым из американского способа промывки. На частных золотых промыслах в 1864 г. находилось рабочих: сибирских губерний:  мещан, крестьян — 6 178;  ссыльнопоселенцев — 11 751; великороссийских губерний:  мещан, крестьян и разночинцев — 2 098. Итого: 20 027."
d16;1864 г.;;"9 Ж. Заводы В Енисейской губернии существует, в селе Троицком, казенный солеваренный завод и при оном молотовая фабрика для выплавки руды и выделки железа и 134 частных фабрик и заводов. В 1864 г. на Троицком заводе выварено соли 104 834 пуда на 63 190 руб. и получено разных сортов железа 691 пуд 26 фун. на 1 500, на всех же частных заводах и фабриках выработано изделий на 1 213 562 руб. 28 коп., против 1863 г. более на 705 777 руб. 89 1/4 коп., в то число 718 294 руб. 891/4 коп. более — на пяти винокуренных заводах, и 12 517 руб. менее на всех остальных частных заводах и фабриках. Частные заводы и фабрики, за исключением винокуренных, весьма незначительны и по качеству своих изделий требуют больших улучшений. Ведомость о фабриках и заводах приложена под № 17. К числу сего рода заведений должна быть отнесена добыча золота и ломка графита на частных приисках. В 1864 г. производились работы на 143, а заработка и разведка на 139 частных золотых промыслах. Золота получено 593 пуд. 6 фун. 21 зол. и 57 дол. Против 1863 г. получено золота менее 11 пуд. 36 фун. 33 зол. и 1 дол. Добыча золота производилась прежде усвоенным способом. Золотосодержащие пески промывались на железных бочках, чашах, воронках, бутарах и с помощью изобретенного губернским секретарем Лопатиным «песковоза», а также решеток, заимствованных Пакулевым из американского способа промывки. На частных золотых промыслах в 1864 г. находилось рабочих: сибирских губерний:  мещан, крестьян — 6 178;  ссыльнопоселенцев — 11 751; великороссийских губерний:  мещан, крестьян и разночинцев — 2 098. Итого: 20 027."
d17;1864 г.;;"10  Лошадей — 6 768;  быков — 301;  для наблюдения за рабочими казачьей команды — 181;  из числа нанятых людей не явилось к работам — 392;  бежало с приисков — 912;  из них поймано — 145. К прекращению побегов и поимке бежавших приняты надлежащие меры. На промыслах Енисейской губернии в продолжение 1864 г. случилось разного рода происшествий — 27, именно:  наводнений — 2;  пожаров — 2;  нечаянных смертных случаев — 28;  самоубийств — 1;  преступлений по похищению золота не было. На всех частных золотых промыслах Енисейской губернии устроены золотопромышленниками больницы хорошо и удобно; все больницы снабжены аптеками и прочими по возможности принадлежностями в достаточном количестве. При каждой больнице находится фельдшер, а заведование оными лежит на обязанности особых промысловых медиков. Сверх приисковых больниц на половине пути от промыслов Северной системы как более отдаленной от жилых мест устроена одна больница для призрения людей, заболевающих во время пути при следовании на промысла и обратно. Больница эта находится в удовлетворительном состоянии. Во всех больницах рабочие пользуются безвозмездно, за исключением больниц, находящихся на семи приисках, с 800 рабочих в южной части Енисейского округа, состоящих под управлением почетного гражданина Николая Латкина, который вычитает деньги с рабочих не только за медикаменты, но и за кашеваров и артельных старост, чего другие золотопромышленники не делают, об изменении на будущее время столь стеснительной для рабочих системы будет предложено г-ну Латкину. Кроме медиков, на каждой системе Енисейского округа содержатся на счет золотопромышленников определенные от правительства повивальные бабки."
d18;1864 г.;;"12 При таких наблюдениях выход рабочих с промыслов и следование в места жительства в 1864 г. совершился благополучно, за исключением следующего несчастного случая: 14 сентября при переправе чрез реку Ангару, выше деревни Кулаковой , конюхов и лошадей золотопромышленника Лопатина, от поднявшейся внезапно на средине реки бури, вода залила лодки, при чем утонуло 5 человек и 1 лошадь. Вообще же золотый промысел в Енисейской губернии не подает, кажется, верной надежды к большему развитию оного, ибо при всех предположениях правительства, имеющих целью улучшение золотопромышленности и даже при одобрении тех мер, о которых хлопочут сами золотопромышленники, можно поддержать промысел этот некоторое время на настоящем его уровне, но едва ли можно надеяться довести до значительных размеров. Если золотопромышленность не развилась, когда несколько лет сряду существовало особенно благоприятное условие — редкая дешевизна хлеба, то с возвышением цен на хлеб до того размера, какие были в конце пятидесятых годов, разработка половины приисков, вероятно, прекратится. З. Судоходство Способные к судоходству реки в губернии: Енисей, Туба, Оя и Ангара, или Верхняя Тунгуска, и Чулым. Главнейшая пристань в губернии находится в г. Енисейске, куда сплавляется хлеб и другие предметы для золотых промыслов, Туруханского края и жителей г. Енисейска. Ведомость о судоходстве приложена под № 15. В навигацию 1864 г. пароход «Енисей» совершил от г. Енисейска в Туруханский край два рейса и доходил до самого устья реки Енисей. В 1864 г. нагружено в губернии барок и судов — 795, плотов — 632; против 1863 г. менее: барок и судов — 67, плотов — 134. Ценность груза, заключавшегося на судах, плывших по реке Енисей, преимущественно в хлебе, спирте, сене, соли, дровах, железных материалах, а на возвращавшихся из Туруханского края — в мамонтовой кости, лебяжьем пухе, звериных шкурах, рыбьем жире, клее и разного рода рыбе, простиралась примерно до 1 382 400 руб. и превышала ценность груза 1863 г. на 36 780 руб."
d19;1864 г.;;"12 При таких наблюдениях выход рабочих с промыслов и следование в места жительства в 1864 г. совершился благополучно, за исключением следующего несчастного случая: 14 сентября при переправе чрез реку Ангару, выше деревни Кулаковой , конюхов и лошадей золотопромышленника Лопатина, от поднявшейся внезапно на средине реки бури, вода залила лодки, при чем утонуло 5 человек и 1 лошадь. Вообще же золотый промысел в Енисейской губернии не подает, кажется, верной надежды к большему развитию оного, ибо при всех предположениях правительства, имеющих целью улучшение золотопромышленности и даже при одобрении тех мер, о которых хлопочут сами золотопромышленники, можно поддержать промысел этот некоторое время на настоящем его уровне, но едва ли можно надеяться довести до значительных размеров. Если золотопромышленность не развилась, когда несколько лет сряду существовало особенно благоприятное условие — редкая дешевизна хлеба, то с возвышением цен на хлеб до того размера, какие были в конце пятидесятых годов, разработка половины приисков, вероятно, прекратится. З. Судоходство Способные к судоходству реки в губернии: Енисей, Туба, Оя и Ангара, или Верхняя Тунгуска, и Чулым. Главнейшая пристань в губернии находится в г. Енисейске, куда сплавляется хлеб и другие предметы для золотых промыслов, Туруханского края и жителей г. Енисейска. Ведомость о судоходстве приложена под № 15. В навигацию 1864 г. пароход «Енисей» совершил от г. Енисейска в Туруханский край два рейса и доходил до самого устья реки Енисей. В 1864 г. нагружено в губернии барок и судов — 795, плотов — 632; против 1863 г. менее: барок и судов — 67, плотов — 134. Ценность груза, заключавшегося на судах, плывших по реке Енисей, преимущественно в хлебе, спирте, сене, соли, дровах, железных материалах, а на возвращавшихся из Туруханского края — в мамонтовой кости, лебяжьем пухе, звериных шкурах, рыбьем жире, клее и разного рода рыбе, простиралась примерно до 1 382 400 руб. и превышала ценность груза 1863 г. на 36 780 руб."
d20;1864 г.;;"12 При таких наблюдениях выход рабочих с промыслов и следование в места жительства в 1864 г. совершился благополучно, за исключением следующего несчастного случая: 14 сентября при переправе чрез реку Ангару, выше деревни Кулаковой , конюхов и лошадей золотопромышленника Лопатина, от поднявшейся внезапно на средине реки бури, вода залила лодки, при чем утонуло 5 человек и 1 лошадь. Вообще же золотый промысел в Енисейской губернии не подает, кажется, верной надежды к большему развитию оного, ибо при всех предположениях правительства, имеющих целью улучшение золотопромышленности и даже при одобрении тех мер, о которых хлопочут сами золотопромышленники, можно поддержать промысел этот некоторое время на настоящем его уровне, но едва ли можно надеяться довести до значительных размеров. Если золотопромышленность не развилась, когда несколько лет сряду существовало особенно благоприятное условие — редкая дешевизна хлеба, то с возвышением цен на хлеб до того размера, какие были в конце пятидесятых годов, разработка половины приисков, вероятно, прекратится. З. Судоходство Способные к судоходству реки в губернии: Енисей, Туба, Оя и Ангара, или Верхняя Тунгуска, и Чулым. Главнейшая пристань в губернии находится в г. Енисейске, куда сплавляется хлеб и другие предметы для золотых промыслов, Туруханского края и жителей г. Енисейска. Ведомость о судоходстве приложена под № 15. В навигацию 1864 г. пароход «Енисей» совершил от г. Енисейска в Туруханский край два рейса и доходил до самого устья реки Енисей. В 1864 г. нагружено в губернии барок и судов — 795, плотов — 632; против 1863 г. менее: барок и судов — 67, плотов — 134. Ценность груза, заключавшегося на судах, плывших по реке Енисей, преимущественно в хлебе, спирте, сене, соли, дровах, железных материалах, а на возвращавшихся из Туруханского края — в мамонтовой кости, лебяжьем пухе, звериных шкурах, рыбьем жире, клее и разного рода рыбе, простиралась примерно до 1 382 400 руб. и превышала ценность груза 1863 г. на 36 780 руб."
