ID;Текст даты;Атрибут when;Контекст (для ИИ);event-ref (заполнить)
92;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;
93;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;
94;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;
95;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;
96;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;
97;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;
98;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;
99;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;
100;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;
101;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;
102;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;
103;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;
104;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;
105;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;
106;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;
107;1857 г.;1857;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;
108;1864 г.;1864;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;
109;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;
110;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;
111;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;
112;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;
113;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;
114;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;
115;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;
116;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;
117;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;
118;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;
119;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;
120;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;
121;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;
122;1875 г.;1875;О количестве арестантов: от;
123;1876 г.;1876;О количестве арестантов: от;
124;25 июня 1877 г.;1877-06-25;;
125;1876 г.;1876;В дополнение к донесению моему от 22 июня сего года за № 73, представляя при сем на благоусмотрение ;
