ID;Текст даты;Атрибут when;Контекст (для ИИ);event-ref (заполнить)
1;1876 год;1876;ОТЧЕТ енисейского губернатора за;
2;06 июля 1877 г.;1877-07-06;Начато:;
3;06 июля 1877 г.;1877-07-06;Начато:;
4;22 июня 1877 г.;1877-06-22;;
5;1876 г.;1876;Представляя при сем Вашему Превосходительству печатный экземпляр обзора;
6;1875 г.;1875;Сокращение производства последовало главным образом на винокуренных заводах, что замечается уже трет;
7;1876 г.;1876;;
8;1 января 1877 г.;1877-01-01;получено было 2 032 530 руб. 7 коп., расходов же по всем ведомствам было произведено 1 270 139 руб. ;
9;1876 г.;1876;А. Земледелие и Б. Обеспечение народного продовольствия Ход произрастания хлебов в лете;
10;1 января 1876 г.;1876-01-01;Снятым хлебом удовлетворились все нужды, как видно из нижеследующего расчета: 1) на продовольствие 4;
11;1877 г.;1877;Снятым хлебом удовлетворились все нужды, как видно из нижеследующего расчета: 1) на продовольствие 4;
12;1 января 1877 г.;1877-01-01;Снятым хлебом удовлетворились все нужды, как видно из нижеследующего расчета: 1) на продовольствие 4;
13;1875 г.;1875;Противу цифры предыдущего года хлеба на лицо более на 5 977 четвертей, а недоимки меньше на 6 324 че;
14;1866 г.;1866;Противу цифры предыдущего года хлеба на лицо более на 5 977 четвертей, а недоимки меньше на 6 324 че;
15;1 января 1876 г.;1876-01-01;Противу цифры предыдущего года хлеба на лицо более на 5 977 четвертей, а недоимки меньше на 6 324 че;
16;1 января 1877 г.;1877-01-01;В остатке к;
17;1876 г.;1876;Открытый три года тому назад в;
18;1 января 1876 г.;1876-01-01;С;
19;1 января 1876 г.;1876-01-01;С;
20;1 января 1877 г.;1877-01-01;С;
21;1875 г.;1875;В отчетном году завод выработал чугуна, железа и разных изделий более, чем в предыдущем году, на 55 ;
22;1876 г.;1876;В отчетном году завод выработал чугуна, железа и разных изделий более, чем в предыдущем году, на 55 ;
23;1876 г.;1876;Больные рабочие пользуются в приисковых больницах, устроенных почти на всех приисках и содержимых на;
24;1876 г.;1876;Больные рабочие пользуются в приисковых больницах, устроенных почти на всех приисках и содержимых на;
25;1876 г.;1876;Больные рабочие пользуются в приисковых больницах, устроенных почти на всех приисках и содержимых на;
26;1875 г.;1875;Д. Торговля В отчетном году за свидетельства и билеты поступило 50 245 руб. 90 коп., противу;
27;1873 г.;1873;В;
28;1863 г.;1863;В;
29;1867 г.;1867;В;
30;1 января 1877 г.;1877-01-01;Затем к;
31;1876 г.;1876;Б. Государственные и губернские сборы К;
32;1 января 1877 г.;1877-01-01;Затем к;
33;1 января 1877 г.;1877-01-01;Затем к;
34;1 января 1877;1877-01-01;Всего от отчетного года земской недоимки:  губернских – 95 588 руб. 15 коп.  частных – 33 190 руб.;
35;1875 г.;1875;Всего от отчетного года земской недоимки:  губернских – 95 588 руб. 15 коп.  частных – 33 190 руб.;
36;1875 г.;1875;Всего от отчетного года земской недоимки:  губернских – 95 588 руб. 15 коп.  частных – 33 190 руб.;
37;1875 г.;1875;Всего от отчетного года земской недоимки:  губернских – 95 588 руб. 15 коп.  частных – 33 190 руб.;
38;1875 г.;1875;Всего от отчетного года земской недоимки:  губернских – 95 588 руб. 15 коп.  частных – 33 190 руб.;
39;1875 г.;1875;Всего от отчетного года земской недоимки:  губернских – 95 588 руб. 15 коп.  частных – 33 190 руб.;
40;1869 г.;1869;Всего от отчетного года земской недоимки:  губернских – 95 588 руб. 15 коп.  частных – 33 190 руб.;
41;1873 г.;1873;Всего от отчетного года земской недоимки:  губернских – 95 588 руб. 15 коп.  частных – 33 190 руб.;
42;1874 г.;1874;"или больные и стары и по закону не подлежат никаким сборам; между тем как рядом с этим исключением п";
43;1 января 1877 г.;1877-01-01;и из нижеследующих цифр: по счетам казенной палаты считается в недоимке 552 584 руб. 65 к оп., но из;
44;1 января 1876 г.;1876-01-01;и из нижеследующих цифр: по счетам казенной палаты считается в недоимке 552 584 руб. 65 к оп., но из;
45;1 января 1877 г.;1877-01-01;и из нижеследующих цифр: по счетам казенной палаты считается в недоимке 552 584 руб. 65 к оп., но из;
46;1875 г.;1875;Число питейных домов уменьшилось противу;
47;1876 г.;1876;А. Казенные и общественные здания В;
48;1876 г.;1876;Б. Дороги, мосты, переправы и почты Почтовые дороги на протяжении 1 378 вёрст при постоянной поддерж;
49;1875 г.;1875;В. Народная нравственность В течение отчетного года судебными местами рассмотрено 398 преступлений, ;
50;1 января 1877 г.;1877-01-01;Экономического капитала, составивш егося со времени учреждения тюремного комитета и отделений оного ;
51;1876 г.;1876;Д. Пожары Пожарных случаев в течени е;
52;1875 г.;1875;Д. Пожары Пожарных случаев в течени е;
53;1 января 1868 г.;1868-01-01;В отчетном году средства для тушения пожаров в городах и селениях увеличились незначительно. Взаимно;
54;1876 г.;1876;А. Врачи Всех врачей по;
55;1876 г.;1876;"невозможность строгого контроля не распространяют оспопрививание в желаемых размерах; многие, в особ";
56;1877 г.;1877;"невозможность строгого контроля не распространяют оспопрививание в желаемых размерах; многие, в особ";
57;1876 г.;1876;В. Эпидемии и эпизоотии К числу более значительных эпидемий, существовавших в минувшем;
58;1876 г.;1876;В. Эпидемии и эпизоотии К числу более значительных эпидемий, существовавших в минувшем;
59;1875 г.;1875;Г. Насильственные и случайные смерти О случайных и насильственных смертях прилагается особая вед омо;
60;1846 г.;1846;Д. Богадельни На средства;
61;1861 г.;1861;обеспечено как средствами;
62;1867 г.;1867;5 лет был сам Серебряков, а потом, вследствие его отказа, с;
63;1866 г.;1866;5 лет был сам Серебряков, а потом, вследствие его отказа, с;
64;1864 г.;1864;5 лет был сам Серебряков, а потом, вследствие его отказа, с;
65;1808 г.;1808;5 лет был сам Серебряков, а потом, вследствие его отказа, с;
66;16 мая 1873 г.;1873-05-16;5 лет был сам Серебряков, а потом, вследствие его отказа, с;
67;1869 г.;1869;5 лет был сам Серебряков, а потом, вследствие его отказа, с;
68;1868 г.;1868;5 лет был сам Серебряков, а потом, вследствие его отказа, с;
69;28 марта 1858 г.;1858-03-28;5 лет был сам Серебряков, а потом, вследствие его отказа, с;
70;1846 г.;1846;"в заведывании сельского комитета; 7) в с. Балахтинском";
71;1873 г.;1873;"в заведывании сельского комитета; 7) в с. Балахтинском";
72;1857 г.;1857;"в заведывании сельского комитета; 7) в с. Балахтинском";
73;1864 г.;1864;"в заведывании сельского комитета; 7) в с. Балахтинском";
74;1866 г.;1866;"в заведывании сельского комитета; 7) в с. Балахтинском";
75;1876 г.;1876;А. Движение населения Браков в губернии было совершено в;
76;1 января 1877 г.;1877-01-01;Исключено Взыскано Осталось к;
77;1 января 1877 г.;1877-01-01;Исключено Взыскано Осталось к;
78;1876 г.;1876;НАЗВАНИЕ ГОРОДОВ Приход за;
79;1876 г.;1876;НАЗВАНИЕ ГОРОДОВ Приход за;
80;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;
81;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;
82;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;
83;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;
84;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;
85;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;
86;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;
87;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;
88;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;
89;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;
90;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;
91;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;
