id;Текст даты;Атрибут when;Контекст (для ИИ);event_ref
26;1875 г.;1875;Д. Торговля В отчетном году за свидетельства и билеты поступило 50 245 руб. 90 коп., противу;#event_1864_26
27;1873 г.;1873;В;#event_1864_27
28;1863 г.;1863;В;#event_1864_28
29;1867 г.;1867;В;#event_1864_29
30;1 января 1877 г.;1877-01-01;Затем к;#event_1864_30
31;1876 г.;1876;Б. Государственные и губернские сборы К;#event_1864_31
32;1 января 1877 г.;1877-01-01;Затем к;#event_1864_32
33;1 января 1877 г.;1877-01-01;Затем к;#event_1864_33
34;1 января 1877;1877-01-01;Всего от отчетного года земской недоимки:  губернских – 95 588 руб. 15 коп.  частных – 33 190 руб.;#event_1864_34
35;1875 г.;1875;Всего от отчетного года земской недоимки:  губернских – 95 588 руб. 15 коп.  частных – 33 190 руб.;#event_1864_35
36;1875 г.;1875;Всего от отчетного года земской недоимки:  губернских – 95 588 руб. 15 коп.  частных – 33 190 руб.;#event_1864_36
37;1875 г.;1875;Всего от отчетного года земской недоимки:  губернских – 95 588 руб. 15 коп.  частных – 33 190 руб.;#event_1864_37
38;1875 г.;1875;Всего от отчетного года земской недоимки:  губернских – 95 588 руб. 15 коп.  частных – 33 190 руб.;#event_1864_38
39;1875 г.;1875;Всего от отчетного года земской недоимки:  губернских – 95 588 руб. 15 коп.  частных – 33 190 руб.;#event_1864_39
40;1869 г.;1869;Всего от отчетного года земской недоимки:  губернских – 95 588 руб. 15 коп.  частных – 33 190 руб.;#event_1864_40
41;1873 г.;1873;Всего от отчетного года земской недоимки:  губернских – 95 588 руб. 15 коп.  частных – 33 190 руб.;#event_1864_41
42;1874 г.;1874;"или больные и стары и по закону не подлежат никаким сборам; между тем как рядом с этим исключением п";#event_1864_42
43;1 января 1877 г.;1877-01-01;и из нижеследующих цифр: по счетам казенной палаты считается в недоимке 552 584 руб. 65 к оп., но из;#event_1864_43
44;1 января 1876 г.;1876-01-01;и из нижеследующих цифр: по счетам казенной палаты считается в недоимке 552 584 руб. 65 к оп., но из;#event_1864_44
45;1 января 1877 г.;1877-01-01;и из нижеследующих цифр: по счетам казенной палаты считается в недоимке 552 584 руб. 65 к оп., но из;#event_1864_45
46;1875 г.;1875;Число питейных домов уменьшилось противу;#event_1864_46
47;1876 г.;1876;А. Казенные и общественные здания В;#event_1864_47
48;1876 г.;1876;Б. Дороги, мосты, переправы и почты Почтовые дороги на протяжении 1 378 вёрст при постоянной поддерж;#event_1864_48
49;1875 г.;1875;В. Народная нравственность В течение отчетного года судебными местами рассмотрено 398 преступлений, ;#event_1864_49
50;1 января 1877 г.;1877-01-01;Экономического капитала, составивш егося со времени учреждения тюремного комитета и отделений оного ;#event_1864_50
51;1876 г.;1876;Д. Пожары Пожарных случаев в течени е;#event_1864_51
52;1875 г.;1875;Д. Пожары Пожарных случаев в течени е;#event_1864_52
53;1 января 1868 г.;1868-01-01;В отчетном году средства для тушения пожаров в городах и селениях увеличились незначительно. Взаимно;#event_1864_53
54;1876 г.;1876;А. Врачи Всех врачей по;#event_1864_54
55;1876 г.;1876;"невозможность строгого контроля не распространяют оспопрививание в желаемых размерах; многие, в особ";#event_1864_55
56;1877 г.;1877;"невозможность строгого контроля не распространяют оспопрививание в желаемых размерах; многие, в особ";#event_1864_56
57;1876 г.;1876;В. Эпидемии и эпизоотии К числу более значительных эпидемий, существовавших в минувшем;#event_1864_57
58;1876 г.;1876;В. Эпидемии и эпизоотии К числу более значительных эпидемий, существовавших в минувшем;#event_1864_58
59;1875 г.;1875;Г. Насильственные и случайные смерти О случайных и насильственных смертях прилагается особая вед омо;#event_1864_59
60;1846 г.;1846;Д. Богадельни На средства;#event_1864_60
61;1861 г.;1861;обеспечено как средствами;#event_1864_61
62;1867 г.;1867;5 лет был сам Серебряков, а потом, вследствие его отказа, с;#event_1864_62
63;1866 г.;1866;5 лет был сам Серебряков, а потом, вследствие его отказа, с;#event_1864_63
64;1864 г.;1864;5 лет был сам Серебряков, а потом, вследствие его отказа, с;#event_1864_64
65;1808 г.;1808;5 лет был сам Серебряков, а потом, вследствие его отказа, с;#event_1864_65
66;16 мая 1873 г.;1873-05-16;5 лет был сам Серебряков, а потом, вследствие его отказа, с;#event_1864_66
67;1869 г.;1869;5 лет был сам Серебряков, а потом, вследствие его отказа, с;#event_1864_67
68;1868 г.;1868;5 лет был сам Серебряков, а потом, вследствие его отказа, с;#event_1864_68
69;28 марта 1858 г.;1858-03-28;5 лет был сам Серебряков, а потом, вследствие его отказа, с;#event_1864_69
70;1846 г.;1846;"в заведывании сельского комитета; 7) в с. Балахтинском";#event_1864_70
71;1873 г.;1873;"в заведывании сельского комитета; 7) в с. Балахтинском";#event_1864_71
72;1857 г.;1857;"в заведывании сельского комитета; 7) в с. Балахтинском";#event_1864_72
73;1864 г.;1864;"в заведывании сельского комитета; 7) в с. Балахтинском";#event_1864_73
74;1866 г.;1866;"в заведывании сельского комитета; 7) в с. Балахтинском";#event_1864_74
75;1876 г.;1876;А. Движение населения Браков в губернии было совершено в;#event_1864_75
76;1 января 1877 г.;1877-01-01;Исключено Взыскано Осталось к;#event_1864_76
77;1 января 1877 г.;1877-01-01;Исключено Взыскано Осталось к;#event_1864_77
78;1876 г.;1876;НАЗВАНИЕ ГОРОДОВ Приход за;#event_1864_78
79;1876 г.;1876;НАЗВАНИЕ ГОРОДОВ Приход за;#event_1864_79
80;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;#event_1864_80
81;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;#event_1864_81
82;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;#event_1864_82
83;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;#event_1864_83
84;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;#event_1864_84
85;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;#event_1864_85
86;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;#event_1864_86
87;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;#event_1864_87
88;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;#event_1864_88
89;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;#event_1864_89
90;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;#event_1864_90
91;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;#event_1864_91
92;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;#event_1864_92
93;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;#event_1864_93
94;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;#event_1864_94
95;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;#event_1864_95
96;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;#event_1864_96
97;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;#event_1864_97
98;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;#event_1864_98
99;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;#event_1864_99
100;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;#event_1864_100
101;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;#event_1864_101
102;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;#event_1864_102
103;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;#event_1864_103
104;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;#event_1864_104
105;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;#event_1864_105
106;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;#event_1864_106
107;1857 г.;1857;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;#event_1864_107
108;1864 г.;1864;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;#event_1864_108
109;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;#event_1864_109
110;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;#event_1864_110
111;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;#event_1864_111
112;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;#event_1864_112
113;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;#event_1864_113
114;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;#event_1864_114
115;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;#event_1864_115
116;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;#event_1864_116
117;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;#event_1864_117
118;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;#event_1864_118
119;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;#event_1864_119
120;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;#event_1864_120
121;1866 г.;1866;Наименование преступлений Число преступлений и дел Число осужденных В Т О М Дворян потомственных Дво;#event_1864_121
122;1875 г.;1875;О количестве арестантов: от;#event_1864_122
123;1876 г.;1876;О количестве арестантов: от;#event_1864_123
124;25 июня 1877 г.;1877-06-25;;#event_1864_124
125;1876 г.;1876;В дополнение к донесению моему от 22 июня сего года за № 73, представляя при сем на благоусмотрение ;#event_1864_125
