id;Текст даты;Атрибут when;Контекст (для ИИ);event_ref
1;1876 год;1876;ОТЧЕТ енисейского губернатора за;#event_1864_1
2;06 июля 1877 г.;1877-07-06;Начато:;#event_1864_2
3;06 июля 1877 г.;1877-07-06;Начато:;#event_1864_3
4;22 июня 1877 г.;1877-06-22;;#event_1864_4
5;1876 г.;1876;Представляя при сем Вашему Превосходительству печатный экземпляр обзора;#event_1864_5
6;1875 г.;1875;Сокращение производства последовало главным образом на винокуренных заводах, что замечается уже трет;#event_1864_6
7;1876 г.;1876;;#event_1864_7
8;1 января 1877 г.;1877-01-01;получено было 2 032 530 руб. 7 коп., расходов же по всем ведомствам было произведено 1 270 139 руб. ;#event_1864_8
9;1876 г.;1876;А. Земледелие и Б. Обеспечение народного продовольствия Ход произрастания хлебов в лете;#event_1864_9
10;1 января 1876 г.;1876-01-01;Снятым хлебом удовлетворились все нужды, как видно из нижеследующего расчета: 1) на продовольствие 4;#event_1864_10
11;1877 г.;1877;Снятым хлебом удовлетворились все нужды, как видно из нижеследующего расчета: 1) на продовольствие 4;#event_1864_11
12;1 января 1877 г.;1877-01-01;Снятым хлебом удовлетворились все нужды, как видно из нижеследующего расчета: 1) на продовольствие 4;#event_1864_12
13;1875 г.;1875;Противу цифры предыдущего года хлеба на лицо более на 5 977 четвертей, а недоимки меньше на 6 324 че;#event_1864_13
14;1866 г.;1866;Противу цифры предыдущего года хлеба на лицо более на 5 977 четвертей, а недоимки меньше на 6 324 че;#event_1864_14
15;1 января 1876 г.;1876-01-01;Противу цифры предыдущего года хлеба на лицо более на 5 977 четвертей, а недоимки меньше на 6 324 че;#event_1864_15
16;1 января 1877 г.;1877-01-01;В остатке к;#event_1864_16
17;1876 г.;1876;Открытый три года тому назад в;#event_1864_17
18;1 января 1876 г.;1876-01-01;С;#event_1864_18
19;1 января 1876 г.;1876-01-01;С;#event_1864_19
20;1 января 1877 г.;1877-01-01;С;#event_1864_20
21;1875 г.;1875;В отчетном году завод выработал чугуна, железа и разных изделий более, чем в предыдущем году, на 55 ;#event_1864_21
22;1876 г.;1876;В отчетном году завод выработал чугуна, железа и разных изделий более, чем в предыдущем году, на 55 ;#event_1864_22
23;1876 г.;1876;Больные рабочие пользуются в приисковых больницах, устроенных почти на всех приисках и содержимых на;#event_1864_23
24;1876 г.;1876;Больные рабочие пользуются в приисковых больницах, устроенных почти на всех приисках и содержимых на;#event_1864_24
25;1876 г.;1876;Больные рабочие пользуются в приисковых больницах, устроенных почти на всех приисках и содержимых на;#event_1864_25
