Наименование преступлений,Число преступлений и дел,Число осужденных - М.,Число осужденных - Ж.,В том числе - Дворян потомственных - М.,В том числе - Дворян потомственных - Ж.,В том числе - Дворян личных - М.,В том числе - Дворян личных - Ж.,В том числе - Почетных граждан и купцов - М.,В том числе - Почетных граждан и купцов - Ж.,В том числе - Духовного звания - М.,В том числе - Духовного звания - Ж.,В том числе - Мещан - М.,В том числе - Мещан - Ж.,В том числе - Крестьян - М.,В том числе - Крестьян - Ж.
О нарушении правил осторожности от пожаров (уложение 1866 г. ст. 1076 1077),16,21,2,—,—,—,—,—,—,—,—,8,—,11,2
О нарушении постановлений о кредите (уложение 1866 г. ст. 1149-1168),3,4,1,—,—,—,—,—,—,—,—,4,1,—,—
О нарушении уставов почтовых и телеграфических (уложение 1866 г. ст. 1098-1148),1,4,1,—,—,—,1,—,—,—,—,3,—,1,—
Отделение VIII - О преступлениях и проступках против законов о состояниях (уложение 1866 г. ст. 1405-1148),1,4,—,—,—,—,—,—,—,—,—,—,—,—,—
Отделение IX - О смертоубийстве (уложение 1866 г. ст. 1449 1471),85,201,32,—,—,—,—,—,—,—,—,2,1,64,14
О самоубийстве (уложение 1866 г. ст. 1472 1476),10,10,2,—,—,1,—,—,—,—,—,1,—,8,2
О нанесении увечья ран и других повреждений (уложение 1866 г. ст. 1477 1496),62,126,12,—,—,—,—,—,—,—,1,34,2,28,4
О преступлениях против чести и целомудния женщин (уложение 1866 г. ст. 1523 1532),10,13,—,—,—,—,—,—,—,—,—,3,—,9,—
О личных оскорблениях (уложение 1866 г. ст. 1533 1534),39,32,7,—,—,1,—,—,—,—,—,16,3,15,2
О противозаконном задержании и заключении (уложение 1866 г. ст. 1540 1544),3,1,—,—,—,1,—,—,—,—,—,—,—,—,—
О нападении с насилием или самоуправстве (ст. 2109 уложение 1857 г. и 142 ст. уст. о наказаниях излагаемых мировыми судьями изд. 1864 г.),2,10,—,—,—,—,—,—,—,—,—,7,—,3,—
Отделение X - О преступлениях против союза брачного (уложение 1866 г. ст. 1549 1585),9,14,4,—,—,5,2,—,—,—,—,7,1,2,1
