ЧИСЛЕ - Военного сословия - М.,ЧИСЛЕ - Военного сословия - Ж.,ЧИСЛЕ - Инородцев - М.,ЧИСЛЕ - Инородцев - Ж.,ЧИСЛЕ - Поселенцев - М.,ЧИСЛЕ - Поселенцев - Ж.,ЧИСЛЕ - Ссыльнокаторжных - М.,ЧИСЛЕ - Ссыльнокаторжных - Ж.,ВОЗРАСТ ПРЕСТУПНИКОВ - Ниже 17 лет - М.,ВОЗРАСТ ПРЕСТУПНИКОВ - Ниже 17 лет - Ж.,ВОЗРАСТ ПРЕСТУПНИКОВ - 17–20 - М.,ВОЗРАСТ ПРЕСТУПНИКОВ - 17–20 - Ж.,ВОЗРАСТ ПРЕСТУПНИКОВ - 21–30 - М.,ВОЗРАСТ ПРЕСТУПНИКОВ - 21–30 - Ж.,ВОЗРАСТ ПРЕСТУПНИКОВ - 31–40 - М.,ВОЗРАСТ ПРЕСТУПНИКОВ - 31–40 - Ж.,ВОЗРАСТ ПРЕСТУПНИКОВ - 41–50 - М.,ВОЗРАСТ ПРЕСТУПНИКОВ - 41–50 - Ж.,ВОЗРАСТ ПРЕСТУПНИКОВ - 51–60 - М.,ВОЗРАСТ ПРЕСТУПНИКОВ - 51–60 - Ж.
—,—,—,—,—,—,—,—,2,—,—,—,—,—,—,—,—,—,—,—
—,—,—,—,—,—,—,—,—,4,18,3,20,—,—,—,—,—,—,—
—,—,—,—,—,—,—,—,—,—,—,—,2,—,—,—,—,—,—,—
—,—,—,—,10,—,18,—,—,—,3,—,3,—,4,—,15,—,3,—
—,—,—,—,—,—,—,—,—,—,—,—,1,—,1,—,—,—,—,—
—,—,—,—,6,—,—,—,—,—,—,—,4,—,3,—,4,—,—,—
—,—,—,—,77,8,—,—,—,—,—,—,39,3,83,7,17,2,—,—
2,—,—,—,297,12,—,—,1,1,27,21,214,18,213,9,109,—,—,—
—,—,—,—,6,—,—,—,4,—,—,1,3,—,4,—,1,—,1,—
—,—,—,—,—,—,—,—,—,—,—,—,—,—,1,—,1,—,—,—
—,—,—,—,—,—,—,—,—,—,—,—,5,1,6,—,8,—,2,1
