Наименование преступлений,Число преступлений и дел,Число осужденных - М.,Число осужденных - Ж.,В том числе - Дворян потомственных - М.,В том числе - Дворян потомственных - Ж.,В том числе - Дворян личных - М.,В том числе - Дворян личных - Ж.,В том числе - Почетных граждан и купцов - М.,В том числе - Почетных граждан и купцов - Ж.,В том числе - Духовного звания - М.,В том числе - Духовного звания - Ж.,В том числе - Мещан - М.,В том числе - Мещан - Ж.,В том числе - Крестьян - М.,В том числе - Крестьян - Ж.
Отделение I - О преступлениях против веры и постановлений церкви (уложение 1866 г. ст. 184 209 218),4,12,9,—,—,—,—,—,—,—,—,3,2,6,5
О святотатстве (уложение 1866 г. ст. 219 235),14,22,1,—,—,—,—,—,—,1,—,—,—,1,—
Отделение III - О сопротивлении распоряжениям правительства и неповиновении установленным от оного властям (уложение 1866 г. ст. 262 275),2,25,—,—,—,—,—,—,—,—,—,9,—,7,—
Об оскорблении присутственных мест и чиновников при отправлении должностей (уложение 1866 г. ст. 276 289),12,18,2,2,—,—,—,—,—,—,—,5,2,7,—
О самовольном присвоении власти и составлении подложных указов или предписаний и других исходящих от правительства бумаг (уложение 1866 г. ст. 289 302),2,11,—,—,—,2,—,—,—,—,—,—,—,8,—
О похищении бумаг или вещей из присутственных мест сорвании печатей и уничтожении постановленных или приложенных по распоряжению правительства знаков (уложение 1866 г. ст. 303 307),2,2,1,—,—,—,—,—,—,—,—,—,—,1,1
О взломе тюрем уводе и побеге находящихся под стражею или надзором (уложение 1866 г. ст. 307 317),6,11,—,—,—,—,—,—,—,—,—,—,—,1,—
