Исключено - Недоимок - руб.,Исключено - Недоимок - коп.,Исключено - Оклада - руб.,Исключено - Оклада - коп.,Взыскано - Недоимок - руб.,Взыскано - Недоимок - коп.,Взыскано - Оклада - руб.,Взыскано - Оклада - коп.,Осталось к 1 января 1877 г. - Недоимок - руб.,Осталось к 1 января 1877 г. - Недоимок - коп.,Осталось к 1 января 1877 г. - Оклада - руб.,Осталось к 1 января 1877 г. - Оклада - коп.,Осталось к 1 января 1877 г. - ВСЕГО - руб.,Осталось к 1 января 1877 г. - ВСЕГО - коп.
23651,20 3/4,4094,91 3/4,23913,61,228609,91 3/4,82283,16,33475,73,115758,89
32956,46 1/4,5371,9 1/2,3652,39,5362,9 1/2,67521,73 1/2,14343,61 1/4,81865,35
12599,37,3493,2,3590,93 1/2,6901,13 1/2,47525,33 1/2,11714,98,59240,31 1/2
—,—,—,3,16,98,34,23,134,13 1/2,31,52,165,65 1/2
—,—,30,65,94,91,4316,86,—,—,88,56,88,56
148,87 1/2,282,61 1/2,442,28 3/4,27,77,4653,91 1/2,72,29,4726,20 1/2
7361,96 3/4,139,48,9857,35,77825,44 3/4,24698,94 1/4,8224,23 1/2,32923,17 3/4
—,—,—,—,9,—,—,—,79,81 1/2,—,—,79,81 1/2
—,—,—,—,—,—,—,—,—,—,—,—,—,—
1,13,24,54,56,21,125,77,5,31,13,95,19,26
10960,x,1742,31 1/2,1314,4,1724,28,17088,76,4749,75,21838,51
3869,15 1/2,1198,88 1/2,1484,94,2774,64,12695,67,3265,69 1/2,15961,36 1/2
—,—,—,—,5,85,11,25 1/4,51,75,10,35,62,10
—,—,79,33,3,5,1312,5,63,—,65,72,128,72
5*3,7,147,40,2056,9,727,74,11064,21 1/2,1493,66,12557,87 1/2
92061,24,17855,27 1/2,46525,64 1/2,329753,18 1/4,267865,74 1/2,77550,5 1/4,345415,79 1/2
—,—,—,—,164,12 1/2,1579,66 1/2,—,—,—,—,—,—
92061,24,17855,27 1/2,46689,76 3/4,331332,84 3/4,267865,74 1/2,77550,5 1/4,345415,79 1/2
5*32,89 1/2,2475,51 1/2,4493,59 1/2,3*476,49 1/2,12668,58,6334,82,19003,40
—,—,—,—,9,—,—,—,102,55 1/2,—,—,102,55 1/2
7852,7 1/2,807,90 1/2,992,29,669,47,1700,*9 1/2,2319,29 1/2,19419,39
—,—,1,40 1/2,1,72,4,26 1/2,63,86 1/2,2,82,66,68 1/2
36,25,49,67,11,98,608,62,19,52,7,15,26,67
—,—,—,76,—,8,1894,54,228,45,—,—,228,45
157,11 1/2,37,90,1121,82,3213,49,5244,62,1212,94,6457,56
—,x,—,—,5155,96 1/2,—,—,9141,13 1/2,—,—,9141,13 1/2
581,27 1/2,149,46 1/2,439,60,4483,47,1554,85 1/2,1197,78 1/2,2752,63 1/2
—,42,—,36,4,67,504,9,6,81,2,49,9,30
102,10,—,—,145,54 1/2,—,—,740,38,—,—,740,38
116,67 1/2,—,—,177,—,—,—,813,69 1/2,—,—,813,69 1/2
—,—,—,—,—,—,—,—,1,80,—,—,1,80
