Наименование преступлений,Число преступлений и дел,Число осужденных - М.,Число осужденных - Ж.,В том числе - Дворян потомственных - М.,В том числе - Дворян потомственных - Ж.,В том числе - Дворян личных - М.,В том числе - Дворян личных - Ж.,В том числе - Почетных граждан и купцов - М.,В том числе - Почетных граждан и купцов - Ж.,В том числе - Духовного звания - М.,В том числе - Духовного звания - Ж.,В том числе - Мещан - М.,В том числе - Мещан - Ж.,В том числе - Крестьян - М.,В том числе - Крестьян - Ж.
О злоупотреблении и нарушении прав супружества (уложение 1866 г. ст. 1583 1585),4,2,—,—,—,—,—,—,—,—,—,—,—,2,—
О преступлениях детей против родителей (уложение 1866 г. ст. 1591 1592),8,38,7,—,—,—,—,—,—,—,—,—,—,38,7
Отделение XI - О насильственном завладении чужим недвижимым имуществом и о истреблении граничных меж и знаков (уложение 1866 г. ст. 1601-1605),3,2,—,—,—,—,—,—,—,—,—,1,—,1,—
О зажигательстве (уложение 1866 г. ст. 1606 1615),20,28,—,—,—,—,—,—,—,—,—,—,—,—,—
О истреблении и повреждении чужого имущества посредством пороха или иного удобовоспламеняющегося вещества или же потоплением или иным образом (уложение 1866 г. ст. 1616 1625),1,2,—,—,—,—,—,—,—,—,—,—,—,2,—
О разбое (уложение 1866 г. ст. 1627 1636),14,11,—,—,—,—,—,—,—,—,—,2,—,3,—
О грабеже (уложение 1866 г. ст. 1637 1648),48,139,12,—,—,—,—,—,—,—,—,3,1,59,3
О воровстве-краже (уложение 1866 г. ст. 1644 1664),265,564,49,—,—,—,—,—,—,—,—,33,9,232,28
О воровстве-мошенничестве (уложение 1866 г. ст. 1665 1676),14,13,1,—,—,—,—,—,—,—,—,4,1,3,—
О присвоении чрез подлог или иного рода обманы чужого недвижимого имения (ул. 1866 г. ст. 1677-1680),1,2,—,—,—,—,—,—,—,—,—,1,—,1,—
О присвоении вверенного чужого движимого имущества (уложение 1866 г. ст. 1681 1682),15,21,2,—,—,—,—,—,—,—,—,10,1,11,1
