По округам;Озимого (четвертей);Ярового (четвертей);Картофеля (четвертей)
Красноярскому;50429;441765;14639
Енисейскому;51075;111243;36643
Канскому;146999;189427;47669
Минусинскому;36815;523224;26563
Ачинскому;126252;436823;19934
На землях городских;840;33601;1545
Итого;412410;1736083;146993
Итого хлеба (озимого и ярового);2148493;;
