ЧИСЛЕ - Военного сословия - М.,ЧИСЛЕ - Военного сословия - Ж.,ЧИСЛЕ - Инородцев - М.,ЧИСЛЕ - Инородцев - Ж.,ЧИСЛЕ - Поселенцев - М.,ЧИСЛЕ - Поселенцев - Ж.,ЧИСЛЕ - Ссыльнокаторжных - М.,ЧИСЛЕ - Ссыльнокаторжных - Ж.,ВОЗРАСТ ПРЕСТУПНИКОВ - Ниже 17 лет - М.,ВОЗРАСТ ПРЕСТУПНИКОВ - Ниже 17 лет - Ж.,ВОЗРАСТ ПРЕСТУПНИКОВ - 17–20 - М.,ВОЗРАСТ ПРЕСТУПНИКОВ - 17–20 - Ж.,ВОЗРАСТ ПРЕСТУПНИКОВ - 21–30 - М.,ВОЗРАСТ ПРЕСТУПНИКОВ - 21–30 - Ж.,ВОЗРАСТ ПРЕСТУПНИКОВ - 31–40 - М.,ВОЗРАСТ ПРЕСТУПНИКОВ - 31–40 - Ж.,ВОЗРАСТ ПРЕСТУПНИКОВ - 41–50 - М.,ВОЗРАСТ ПРЕСТУПНИКОВ - 41–50 - Ж.,ВОЗРАСТ ПРЕСТУПНИКОВ - 51–60 - М.,ВОЗРАСТ ПРЕСТУПНИКОВ - 51–60 - Ж.
—,—,—,—,—,—,—,—,—,—,—,—,3,—,92,—,11,—,—,—
—,—,—,—,41,—,—,—,—,—,27,—,11,—,17,—,2,—,1,—
—,—,—,—,—,—,—,—,—,—,—,—,8,—,3,—,2,—,5,—
—,—,—,—,2,—,—,—,—,—,—,—,8,—,3,—,7,—,—,—
—,—,—,—,6,1,—,—,—,—,—,—,31,4,35,1,—,—,—,—
—,—,—,—,1,—,—,—,—,—,—,—,5,—,3,—,1,—,—,—
—,—,—,—,—,—,—,—,—,—,—,—,—,—,1,—,1,—,—,—
—,—,—,—,48,5,—,—,—,—,—,—,12,3,24,2,12,—,—,—
—,—,—,—,1,—,—,—,—,—,—,—,2,1,—,—,2,—,—,—
—,—,—,—,—,—,—,—,—,—,—,—,—,—,1,2,—,—,—,—
