ЧИСЛЕ - Военного сословия - М.,ЧИСЛЕ - Военного сословия - Ж.,ЧИСЛЕ - Инородцев - М.,ЧИСЛЕ - Инородцев - Ж.,ЧИСЛЕ - Поселенцев - М.,ЧИСЛЕ - Поселенцев - Ж.,ЧИСЛЕ - Ссыльнокаторжных - М.,ЧИСЛЕ - Ссыльнокаторжных - Ж.,ВОЗРАСТ ПРЕСТУПНИКОВ - Ниже 17 лет - М.,ВОЗРАСТ ПРЕСТУПНИКОВ - Ниже 17 лет - Ж.,ВОЗРАСТ ПРЕСТУПНИКОВ - 17–20 - М.,ВОЗРАСТ ПРЕСТУПНИКОВ - 17–20 - Ж.,ВОЗРАСТ ПРЕСТУПНИКОВ - 21–30 - М.,ВОЗРАСТ ПРЕСТУПНИКОВ - 21–30 - Ж.,ВОЗРАСТ ПРЕСТУПНИКОВ - 31–40 - М.,ВОЗРАСТ ПРЕСТУПНИКОВ - 31–40 - Ж.,ВОЗРАСТ ПРЕСТУПНИКОВ - 41–50 - М.,ВОЗРАСТ ПРЕСТУПНИКОВ - 41–50 - Ж.,ВОЗРАСТ ПРЕСТУПНИКОВ - 51–60 - М.,ВОЗРАСТ ПРЕСТУПНИКОВ - 51–60 - Ж.
—,—,1,2,2,—,—,—,—,—,5,3,7,4,—,2,—,—,—,—
—,—,—,—,20,1,—,—,—,—,—,—,15,1,5,—,2,—,—,—
—,—,—,—,9,—,—,—,—,—,6,—,9,—,8,—,2,—,—,—
—,—,—,—,4,—,—,—,—,—,1,—,11,1,5,1,—,—,1,—
—,—,—,—,1,—,—,—,—,—,—,—,2,—,9,—,—,—,—,—
—,—,—,—,1,—,—,—,—,—,—,—,1,1,1,—,—,—,—,—
—,—,—,—,10,—,—,—,—,—,—,—,1,—,9,—,1,—,—,—
