Наименование преступлений,Число преступлений и дел,Число осужденных - М.,Число осужденных - Ж.,В том числе - Дворян потомственных - М.,В том числе - Дворян потомственных - Ж.,В том числе - Дворян личных - М.,В том числе - Дворян личных - Ж.,В том числе - Почетных граждан и купцов - М.,В том числе - Почетных граждан и купцов - Ж.,В том числе - Духовного звания - М.,В том числе - Духовного звания - Ж.,В том числе - Мещан - М.,В том числе - Мещан - Ж.,В том числе - Крестьян - М.,В том числе - Крестьян - Ж.
О преступлениях и проступках по договорам и другим обязательствам (уложение 1866 г. ст. 1686 1711),5,6,2,—,—,—,—,—,—,—,—,6,2,—,—
О происшествиях,61,7,1,—,—,—,—,—,—,—,—,—,1,5,—
Итого,898,1705,162,2,—,12,3,—,—,1,—,236,34,679,71
