Название заводов по округам;Перекурено в вино муки ржаной, пшеничной, овсяной и солоду;% безводного спирта;в полугаре ведер 40%;Среднее число пудов употреблено в суточный затор;Среднее число получения вина в полугаре из суточного затора;Сколько суток в периоде действовал завод
Ачинского округа: Сидоровский;не действовал;;;;;
