ПО ПРИЗЫВУ 1876 Г. ПРИНЯТО
1. Дворян потомственных и личных
2. Лиц, состоящих на государственной службе
3. Почетных граждан, потомственных и личных
4. Прочих лиц, изъятых от внесения в 10-ю народную перепись, а также вышедших после ревизии из податного сословия
5. Купцов
6. Мещан и цеховых
7. Крестьян всех наименований
8. Прочих лиц, внесенных в ревизские сказки, а равно приписанных к обществам после ревизии
Итого
