id;Текст даты;Атрибут when;Контекст (для ИИ);event_ref
1;1872 года;1872;;#event_1871_1
2;28 июля 1872 года;1872-07-28;М. В. Д. НАЧАЛЬНИКА;#event_1871_2
3;1871 г.;1871;М. В. Д. НАЧАЛЬНИКА;#event_1871_3
4;1871 г.;1871;4 Народонаселение;#event_1871_4
5;1870 г.;1870;4 Народонаселение;#event_1871_5
6;1865 г.;1865;4 Народонаселение;#event_1871_6
7;1870 г.;1870;5 Все меры, какими только могла располагать администрация, были принимаемы противу заразы, но они не;#event_1871_7
8;1871 г.;1871;5 Все меры, какими только могла располагать администрация, были принимаемы противу заразы, но они не;#event_1871_8
9;1871 г.;1871;8 ОБЗОР ЕНИСЕЙСКОЙ ГУБЕРНИИ ЗА 1871 ГОД I. ЕСТЕСТВЕННЫЕ И ПРОИЗВОДИТЕЛЬНЫЕ СИЛЫ ГУБЕРНИИ И ЭКОНОМИЧЕ;#event_1871_9
10;1 января 1872 г.;1872-01-01;9 Последнее обстоятельство не требовало со стороны администрации принятия каких бы то ни было мер, п;#event_1871_10
11;1870 г.;1870;11 для переработки местных произведений, именно — винокуренное, кожевенное и салотопенное производст;#event_1871_11
12;1871 г.;1871;11 для переработки местных произведений, именно — винокуренное, кожевенное и салотопенное производст;#event_1871_12
13;1871 г.;1871;13 В;#event_1871_13
14;1870 г.;1870;15 Процент смертности весьма незначительный, что нужно объяснить хорошим помещением рабочих, достато;#event_1871_14
15;1871 г.;1871;16 благополучно, под присмотром горной полиции и особо командированных лиц. С окончанием летних рабо;#event_1871_15
16;1870 г.;1870;16 благополучно, под присмотром горной полиции и особо командированных лиц. С окончанием летних рабо;#event_1871_16
17;1870 г.;1870;17 того, крестьяне, не имея нужды торопиться окончанием сделок, более выгодно продавали свои произве;#event_1871_17
18;1871 г.;1871;17 того, крестьяне, не имея нужды торопиться окончанием сделок, более выгодно продавали свои произве;#event_1871_18
19;1871 г.;1871;20 II. ПОДАТИ И НЕДОИМКИ А. Окладные сборы В;#event_1871_19
20;1 Января 1872 г.;1872-01-01;20 II. ПОДАТИ И НЕДОИМКИ А. Окладные сборы В;#event_1871_20
21;1871 г.;1871;20 II. ПОДАТИ И НЕДОИМКИ А. Окладные сборы В;#event_1871_21
22;1 января 1872 г.;1872-01-01;22 Затем к;#event_1871_22
23;1870 г.;1870;22 Затем к;#event_1871_23
24;1 января 1872 г.;1872-01-01;23 происходит такая же сложная и продолжительная переписка, причем, как в том, так и в другом случае;#event_1871_24
25;1 января 1872 г.;1872-01-01;24 Большая часть недоимки лежит на ссыльнопоселенцах и на крестьянах из поселенцев, о чем подробно б;#event_1871_25
26;1872 г.;1872;25 Недоимки к;#event_1871_26
27;1870 г.;1870;25 Недоимки к;#event_1871_27
28;1863 г.;1863;25 Недоимки к;#event_1871_28
29;1871 г.;1871;25 Недоимки к;#event_1871_29
30;1867 г.;1867;25 Недоимки к;#event_1871_30
