Тип училища;Число заведеній;Число учащихся мальч.;Число учащихся дѣвоч.
а) Гражданскія Училищъ:;;;
Уѣздныхъ;3;265;
Приходскихъ:;;;
въ городахъ;6;341;—
въ округахъ;10;251;14
Сельскихъ:;;;
Въ селеніяхъ государственныхъ для крестьянъ;18;205;13
Женское училище;;;
