ID;Текст даты;Атрибут when;Контекст (для ИИ);event-ref (заполнить)
1;1864 г.;1864;ДЕЛО КОМИТЕТА МИНИСТРОВ ПО СИБИРИ Копия со всеподданнейшего отчета Военного Губернатора;
2;26 мая 1865 г.;1865-05-26;ДЕЛО КОМИТЕТА МИНИСТРОВ ПО СИБИРИ Копия со всеподданнейшего отчета Военного Губернатора;
3;26 мая 1865;1865-05-26;;
4;20 апреля 1865 года;1865-04-20;;
5;1864 год;1864;;
6;1864 г.;1864;Копия ОТЧЕТ ЕНИСЕЙСКОГО ГРАЖДАНСКОГО ГУБЕРНАТОРА ЕНИСЕЙСКОГО ГРАЖДАНСКОГО ГУБЕРНАТОРА ЗАЗА 1864 1864;
7;1864 г.;1864;Копия ОТЧЕТ ЕНИСЕЙСКОГО ГРАЖДАНСКОГО ГУБЕРНАТОРА ЕНИСЕЙСКОГО ГРАЖДАНСКОГО ГУБЕРНАТОРА ЗАЗА 1864 1864;
8;1864 г.;1864;Копия ОТЧЕТ ЕНИСЕЙСКОГО ГРАЖДАНСКОГО ГУБЕРНАТОРА ЕНИСЕЙСКОГО ГРАЖДАНСКОГО ГУБЕРНАТОРА ЗАЗА 1864 1864;
9;1864 г.;1864;8 В. Дворянство В;
10;1 января 1863 г.;1863-01-01;8 В. Дворянство В;
11;1864 г.;1864;9 Ж. Заводы В;
12;1863 г.;1863;9 Ж. Заводы В;
13;1864 г.;1864;9 Ж. Заводы В;
14;1863 г.;1863;9 Ж. Заводы В;
15;1864 г.;1864;9 Ж. Заводы В;
16;1864 г.;1864;"10  Лошадей — 6 768;  быков — 301;  для наблюдения за рабочими казачьей команды — 181;  из числа";
17;1864 г.;1864;12 При таких наблюдениях выход рабочих с промыслов и следование в места жительства в;
18;1864 г.;1864;12 При таких наблюдениях выход рабочих с промыслов и следование в места жительства в;
19;1864 г.;1864;12 При таких наблюдениях выход рабочих с промыслов и следование в места жительства в;
20;1863 г.;1863;12 При таких наблюдениях выход рабочих с промыслов и следование в места жительства в;
21;1863 г.;1863;12 При таких наблюдениях выход рабочих с промыслов и следование в места жительства в;
22;1864 г.;1864;13 И. Ярмарки Ярмарки в;
23;1864 г.;1864;13 И. Ярмарки Ярмарки в;
24;1865 г.;1865;13 И. Ярмарки Ярмарки в;
25;1864 г.;1864;13 И. Ярмарки Ярмарки в;
26;1864 г.;1864;13 И. Ярмарки Ярмарки в;
27;1864 г.;1864;14 и имеет домохозяйство с огородами при домах, но большая часть не занимается хозяйством, несмотря ;
28;1863 г.;1863;15 и табаку 533 пуд. 15 фун. Против;
29;1864 г.;1864;15 и табаку 533 пуд. 15 фун. Против;
30;1863 г.;1863;15 и табаку 533 пуд. 15 фун. Против;
31;1863 г.;1863;15 и табаку 533 пуд. 15 фун. Против;
32;1864 г.;1864;16 что рогатый скот, содержимый у некоторых поселенцев и переселенцев из внутренних губерний в сарая;
33;1863 г.;1863;16 что рогатый скот, содержимый у некоторых поселенцев и переселенцев из внутренних губерний в сарая;
34;1864 г.;1864;16 что рогатый скот, содержимый у некоторых поселенцев и переселенцев из внутренних губерний в сарая;
35;1864 г.;1864;16 что рогатый скот, содержимый у некоторых поселенцев и переселенцев из внутренних губерний в сарая;
36;1864 г.;1864;"17  недоимок — 27 103 руб. 601/2 коп.;  оклада — 315 637 руб. 821/2 коп. Исключено:  недоимок — 1";
37;1863 г.;1863;"17  недоимок — 27 103 руб. 601/2 коп.;  оклада — 315 637 руб. 821/2 коп. Исключено:  недоимок — 1";
38;1863 г.;1863;18 Распределение сего сбора по сословиям означено в ведомости под № 11, где показаны и отправленные ;
39;1865 г.;1865;18 Распределение сего сбора по сословиям означено в ведомости под № 11, где показаны и отправленные ;
40;1864 г.;1864;18 Распределение сего сбора по сословиям означено в ведомости под № 11, где показаны и отправленные ;
41;7 января 1863 г.;1863-01-07;18 Распределение сего сбора по сословиям означено в ведомости под № 11, где показаны и отправленные ;
42;1 января 1865 г.;1865-01-01;18 Распределение сего сбора по сословиям означено в ведомости под № 11, где показаны и отправленные ;
43;1 января 1865 г.;1865-01-01;18 Распределение сего сбора по сословиям означено в ведомости под № 11, где показаны и отправленные ;
44;31 июля 1864 г.;1864-07-31;18 Распределение сего сбора по сословиям означено в ведомости под № 11, где показаны и отправленные ;
45;1864 г.;1864;19 Предложения об усилении городских доходов по г.;
46;1864 г.;1864;19 Предложения об усилении городских доходов по г.;
47;7 февраля 1861 г.;1861-02-07;19 Предложения об усилении городских доходов по г.;
48;16 марта 1865 г.;1865-03-16;19 Предложения об усилении городских доходов по г.;
49;1864 г.;1864;20 почтовой гоньбы, было бы полезно учредить по новой дороге вместо двух — три почтовые станции, всл;
50;1864 г.;1864;20 почтовой гоньбы, было бы полезно учредить по новой дороге вместо двух — три почтовые станции, всл;
51;1864 г.;1864;20 почтовой гоньбы, было бы полезно учредить по новой дороге вместо двух — три почтовые станции, всл;
52;1863 г.;1863;20 почтовой гоньбы, было бы полезно учредить по новой дороге вместо двух — три почтовые станции, всл;
53;1864 г.;1864;21 Судя по числу народонаселения губернии 327 094, число совершенных в;
54;1863 г.;1863;21 Судя по числу народонаселения губернии 327 094, число совершенных в;
55;1864 г.;1864;21 Судя по числу народонаселения губернии 327 094, число совершенных в;
56;1864 г.;1864;21 Судя по числу народонаселения губернии 327 094, число совершенных в;
57;1864 г.;1864;21 Судя по числу народонаселения губернии 327 094, число совершенных в;
58;1864 г.;1864;21 Судя по числу народонаселения губернии 327 094, число совершенных в;
59;1864 г.;1864;"22 крестьян государственных: б) по приговорам обществ — 75 муж., 16 жен.; в) по решениям судебных ме";
60;1864 г.;1864;"22 крестьян государственных: б) по приговорам обществ — 75 муж., 16 жен.; в) по решениям судебных ме";
61;1864 г.;1864;"22 крестьян государственных: б) по приговорам обществ — 75 муж., 16 жен.; в) по решениям судебных ме";
62;1864 г.;1864;23 Приняли Св. Крещение: евреев — 3, магометан — 9, идолопоклонников — 156, а всего — 168 душ. Ведом;
63;1865 г.;1865;"24 Л. Жалобы Письменных жалоб поступило — 938. Из них:  передано по принадлежности — 261;  собираю";
64;15 марта 1866 г.;1866-03-15;25 Работы по постройке деревянного острога в г.;
65;1864 г.;1864;25 Работы по постройке деревянного острога в г.;
66;1863 г.;1863;25 Работы по постройке деревянного острога в г.;
67;1 февраля 1866 г.;1866-02-01;25 Работы по постройке деревянного острога в г.;
68;1864 г.;1864;25 Работы по постройке деревянного острога в г.;
69;1864 г.;1864;25 Работы по постройке деревянного острога в г.;
70;1864 г.;1864;25 Работы по постройке деревянного острога в г.;
71;1864 г.;1864;26 IIV. V. НАРОДНОЕ ЗДРАВИЕНАРОДНОЕ ЗДРАВИЕ А. Врачи Врачей в губернии всего — 23. Из них на службе ;
72;1864 г.;1864;26 IIV. V. НАРОДНОЕ ЗДРАВИЕНАРОДНОЕ ЗДРАВИЕ А. Врачи Врачей в губернии всего — 23. Из них на службе ;
73;1864 г.;1864;26 IIV. V. НАРОДНОЕ ЗДРАВИЕНАРОДНОЕ ЗДРАВИЕ А. Врачи Врачей в губернии всего — 23. Из них на службе ;
74;1863 г.;1863;26 IIV. V. НАРОДНОЕ ЗДРАВИЕНАРОДНОЕ ЗДРАВИЕ А. Врачи Врачей в губернии всего — 23. Из них на службе ;
75;1864 г.;1864;26 IIV. V. НАРОДНОЕ ЗДРАВИЕНАРОДНОЕ ЗДРАВИЕ А. Врачи Врачей в губернии всего — 23. Из них на службе ;
76;1863 г.;1863;27 На основании судебной медицины вскрыто человеческих трупов 334, в том числе 273 мужского, 61 женс;
77;1860 г.;1860;27 На основании судебной медицины вскрыто человеческих трупов 334, в том числе 273 мужского, 61 женс;
78;1864 г.;1864;27 На основании судебной медицины вскрыто человеческих трупов 334, в том числе 273 мужского, 61 женс;
79;1864 г.;1864;27 На основании судебной медицины вскрыто человеческих трупов 334, в том числе 273 мужского, 61 женс;
80;1865 г.;1865;27 На основании судебной медицины вскрыто человеческих трупов 334, в том числе 273 мужского, 61 женс;
81;1864 г.;1864;28 Б. Больницы Больничные здания в городах;
82;1864 г.;1864;28 Б. Больницы Больничные здания в городах;
83;1863 г.;1863;28 Б. Больницы Больничные здания в городах;
84;1862 г.;1862;28 Б. Больницы Больничные здания в городах;
85;1864 г.;1864;28 Б. Больницы Больничные здания в городах;
86;26 октября 1863 г.;1863-10-26;28 Б. Больницы Больничные здания в городах;
87;1864 г.;1864;29 В построенной;
88;1864 г.;1864;30 Число заведений Число учащихся муж. жен. Сельских В селениях государственных для крестьян 18 205 ;
89;1864 г.;1864;31 В;
90;1864 г.;1864;31 В;
91;1864 г.;1864;31 В;
92;1864 г.;1864;31 В;
93;1863 г.;1863;31 В;
94;1864 г.;1864;32 VII. МЕСТНАЯ АДМИНИСТРАЦИЯ И СУДОПРОИЗВОДСТВОVII. МЕСТНАЯ АДМИНИСТРАЦИЯ И СУДОПРОИЗВОДСТВО А. Общ;
95;1864 г.;1864;32 VII. МЕСТНАЯ АДМИНИСТРАЦИЯ И СУДОПРОИЗВОДСТВОVII. МЕСТНАЯ АДМИНИСТРАЦИЯ И СУДОПРОИЗВОДСТВО А. Общ;
96;1864 г.;1864;32 VII. МЕСТНАЯ АДМИНИСТРАЦИЯ И СУДОПРОИЗВОДСТВОVII. МЕСТНАЯ АДМИНИСТРАЦИЯ И СУДОПРОИЗВОДСТВО А. Общ;
97;1 марта 1863 г.;1863-03-01;32 VII. МЕСТНАЯ АДМИНИСТРАЦИЯ И СУДОПРОИЗВОДСТВОVII. МЕСТНАЯ АДМИНИСТРАЦИЯ И СУДОПРОИЗВОДСТВО А. Общ;
98;1865 г.;1865;32 VII. МЕСТНАЯ АДМИНИСТРАЦИЯ И СУДОПРОИЗВОДСТВОVII. МЕСТНАЯ АДМИНИСТРАЦИЯ И СУДОПРОИЗВОДСТВО А. Общ;
