id;Текст даты;Атрибут when;Контекст (для ИИ);event_ref
46;1864 г.;1864;19 Предложения об усилении городских доходов по г.;#event_1864_46
47;7 февраля 1861 г.;1861-02-07;19 Предложения об усилении городских доходов по г.;#event_1864_47
48;16 марта 1865 г.;1865-03-16;19 Предложения об усилении городских доходов по г.;#event_1864_48
49;1864 г.;1864;20 почтовой гоньбы, было бы полезно учредить по новой дороге вместо двух — три почтовые станции, всл;#event_1864_49
50;1864 г.;1864;20 почтовой гоньбы, было бы полезно учредить по новой дороге вместо двух — три почтовые станции, всл;#event_1864_50
51;1864 г.;1864;20 почтовой гоньбы, было бы полезно учредить по новой дороге вместо двух — три почтовые станции, всл;#event_1864_51
52;1863 г.;1863;20 почтовой гоньбы, было бы полезно учредить по новой дороге вместо двух — три почтовые станции, всл;#event_1864_52
53;1864 г.;1864;21 Судя по числу народонаселения губернии 327 094, число совершенных в;#event_1864_53
54;1863 г.;1863;21 Судя по числу народонаселения губернии 327 094, число совершенных в;#event_1864_54
55;1864 г.;1864;21 Судя по числу народонаселения губернии 327 094, число совершенных в;#event_1864_55
56;1864 г.;1864;21 Судя по числу народонаселения губернии 327 094, число совершенных в;#event_1864_56
57;1864 г.;1864;21 Судя по числу народонаселения губернии 327 094, число совершенных в;#event_1864_57
58;1864 г.;1864;21 Судя по числу народонаселения губернии 327 094, число совершенных в;#event_1864_58
59;1864 г.;1864;"22 крестьян государственных: б) по приговорам обществ — 75 муж., 16 жен.; в) по решениям судебных ме";#event_1864_59
60;1864 г.;1864;"22 крестьян государственных: б) по приговорам обществ — 75 муж., 16 жен.; в) по решениям судебных ме";#event_1864_60
61;1864 г.;1864;"22 крестьян государственных: б) по приговорам обществ — 75 муж., 16 жен.; в) по решениям судебных ме";#event_1864_61
62;1864 г.;1864;23 Приняли Св. Крещение: евреев — 3, магометан — 9, идолопоклонников — 156, а всего — 168 душ. Ведом;#event_1864_62
63;1865 г.;1865;"24 Л. Жалобы Письменных жалоб поступило — 938. Из них:  передано по принадлежности — 261;  собираю";#event_1864_63
64;15 марта 1866 г.;1866-03-15;25 Работы по постройке деревянного острога в г.;#event_1864_64
65;1864 г.;1864;25 Работы по постройке деревянного острога в г.;#event_1864_65
66;1863 г.;1863;25 Работы по постройке деревянного острога в г.;#event_1864_66
67;1 февраля 1866 г.;1866-02-01;25 Работы по постройке деревянного острога в г.;#event_1864_67
68;1864 г.;1864;25 Работы по постройке деревянного острога в г.;#event_1864_68
69;1864 г.;1864;25 Работы по постройке деревянного острога в г.;#event_1864_69
70;1864 г.;1864;25 Работы по постройке деревянного острога в г.;#event_1864_70
71;1864 г.;1864;26 IIV. V. НАРОДНОЕ ЗДРАВИЕНАРОДНОЕ ЗДРАВИЕ А. Врачи Врачей в губернии всего — 23. Из них на службе ;#event_1864_71
72;1864 г.;1864;26 IIV. V. НАРОДНОЕ ЗДРАВИЕНАРОДНОЕ ЗДРАВИЕ А. Врачи Врачей в губернии всего — 23. Из них на службе ;#event_1864_72
73;1864 г.;1864;26 IIV. V. НАРОДНОЕ ЗДРАВИЕНАРОДНОЕ ЗДРАВИЕ А. Врачи Врачей в губернии всего — 23. Из них на службе ;#event_1864_73
74;1863 г.;1863;26 IIV. V. НАРОДНОЕ ЗДРАВИЕНАРОДНОЕ ЗДРАВИЕ А. Врачи Врачей в губернии всего — 23. Из них на службе ;#event_1864_74
75;1864 г.;1864;26 IIV. V. НАРОДНОЕ ЗДРАВИЕНАРОДНОЕ ЗДРАВИЕ А. Врачи Врачей в губернии всего — 23. Из них на службе ;#event_1864_75
76;1863 г.;1863;27 На основании судебной медицины вскрыто человеческих трупов 334, в том числе 273 мужского, 61 женс;#event_1864_76
77;1860 г.;1860;27 На основании судебной медицины вскрыто человеческих трупов 334, в том числе 273 мужского, 61 женс;#event_1864_77
78;1864 г.;1864;27 На основании судебной медицины вскрыто человеческих трупов 334, в том числе 273 мужского, 61 женс;#event_1864_78
79;1864 г.;1864;27 На основании судебной медицины вскрыто человеческих трупов 334, в том числе 273 мужского, 61 женс;#event_1864_79
80;1865 г.;1865;27 На основании судебной медицины вскрыто человеческих трупов 334, в том числе 273 мужского, 61 женс;#event_1864_80
81;1864 г.;1864;28 Б. Больницы Больничные здания в городах;#event_1864_81
82;1864 г.;1864;28 Б. Больницы Больничные здания в городах;#event_1864_82
83;1863 г.;1863;28 Б. Больницы Больничные здания в городах;#event_1864_83
84;1862 г.;1862;28 Б. Больницы Больничные здания в городах;#event_1864_84
85;1864 г.;1864;28 Б. Больницы Больничные здания в городах;#event_1864_85
86;26 октября 1863 г.;1863-10-26;28 Б. Больницы Больничные здания в городах;#event_1864_86
87;1864 г.;1864;29 В построенной;#event_1864_87
88;1864 г.;1864;30 Число заведений Число учащихся муж. жен. Сельских В селениях государственных для крестьян 18 205 ;#event_1864_88
89;1864 г.;1864;31 В;#event_1864_89
90;1864 г.;1864;31 В;#event_1864_90
91;1864 г.;1864;31 В;#event_1864_91
92;1864 г.;1864;31 В;#event_1864_92
93;1863 г.;1863;31 В;#event_1864_93
94;1864 г.;1864;32 VII. МЕСТНАЯ АДМИНИСТРАЦИЯ И СУДОПРОИЗВОДСТВОVII. МЕСТНАЯ АДМИНИСТРАЦИЯ И СУДОПРОИЗВОДСТВО А. Общ;#event_1864_94
95;1864 г.;1864;32 VII. МЕСТНАЯ АДМИНИСТРАЦИЯ И СУДОПРОИЗВОДСТВОVII. МЕСТНАЯ АДМИНИСТРАЦИЯ И СУДОПРОИЗВОДСТВО А. Общ;#event_1864_95
96;1864 г.;1864;32 VII. МЕСТНАЯ АДМИНИСТРАЦИЯ И СУДОПРОИЗВОДСТВОVII. МЕСТНАЯ АДМИНИСТРАЦИЯ И СУДОПРОИЗВОДСТВО А. Общ;#event_1864_96
97;1 марта 1863 г.;1863-03-01;32 VII. МЕСТНАЯ АДМИНИСТРАЦИЯ И СУДОПРОИЗВОДСТВОVII. МЕСТНАЯ АДМИНИСТРАЦИЯ И СУДОПРОИЗВОДСТВО А. Общ;#event_1864_97
98;1865 г.;1865;32 VII. МЕСТНАЯ АДМИНИСТРАЦИЯ И СУДОПРОИЗВОДСТВОVII. МЕСТНАЯ АДМИНИСТРАЦИЯ И СУДОПРОИЗВОДСТВО А. Общ;#event_1864_98
99;1864 г.;1864;32 VII. МЕСТНАЯ АДМИНИСТРАЦИЯ И СУДОПРОИЗВОДСТВОVII. МЕСТНАЯ АДМИНИСТРАЦИЯ И СУДОПРОИЗВОДСТВО А. Общ;#event_1864_99
100;1863 г.;1863;32 VII. МЕСТНАЯ АДМИНИСТРАЦИЯ И СУДОПРОИЗВОДСТВОVII. МЕСТНАЯ АДМИНИСТРАЦИЯ И СУДОПРОИЗВОДСТВО А. Общ;#event_1864_100
101;1864 г.;1864;33 и;#event_1864_101
102;1864 г.;1864;33 и;#event_1864_102
103;1863 г.;1863;33 и;#event_1864_103
104;1864 г.;1864;33 и;#event_1864_104
105;1864 г.;1864;33 и;#event_1864_105
106;1863 г.;1863;33 и;#event_1864_106
107;7 января 1865 г.;1865-01-07;33 и;#event_1864_107
108;1864 г.;1864;34 З. Думы, ратуши и словесные суды Действия городских дум, ратуши и словесных судов по всем предмет;#event_1864_108
109;1862 г.;1862;34 З. Думы, ратуши и словесные суды Действия городских дум, ратуши и словесных судов по всем предмет;#event_1864_109
110;1864 г.;1864;34 З. Думы, ратуши и словесные суды Действия городских дум, ратуши и словесных судов по всем предмет;#event_1864_110
111;1864 г.;1864;34 З. Думы, ратуши и словесные суды Действия городских дум, ратуши и словесных судов по всем предмет;#event_1864_111
112;1864 г.;1864;34 З. Думы, ратуши и словесные суды Действия городских дум, ратуши и словесных судов по всем предмет;#event_1864_112
113;1864 г.;1864;34 З. Думы, ратуши и словесные суды Действия городских дум, ратуши и словесных судов по всем предмет;#event_1864_113
114;1865 г.;1865;34 З. Думы, ратуши и словесные суды Действия городских дум, ратуши и словесных судов по всем предмет;#event_1864_114
115;1864 г.;1864;34 З. Думы, ратуши и словесные суды Действия городских дум, ратуши и словесных судов по всем предмет;#event_1864_115
116;1863 г.;1863;35 того, священно- и церковнослужителям, за исключением весьма немногих, отведена сенокосная и огоро;#event_1864_116
117;1864 г.;1864;35 того, священно- и церковнослужителям, за исключением весьма немногих, отведена сенокосная и огоро;#event_1864_117
118;1864 г.;1864;41 Примечания 1. Сверх того, на частных золотых промыслах:;#event_1864_118
119;1864 г.;1864;41 Примечания 1. Сверх того, на частных золотых промыслах:;#event_1864_119
