id;Текст даты;Атрибут when;Контекст (для ИИ);event_ref
1;1864 г.;1864;ДЕЛО КОМИТЕТА МИНИСТРОВ ПО СИБИРИ Копия со всеподданнейшего отчета Военного Губернатора;#event_1864_1
2;26 мая 1865 г.;1865-05-26;ДЕЛО КОМИТЕТА МИНИСТРОВ ПО СИБИРИ Копия со всеподданнейшего отчета Военного Губернатора;#event_1864_2
3;26 мая 1865;1865-05-26;;#event_1864_3
4;20 апреля 1865 года;1865-04-20;;#event_1864_4
5;1864 год;1864;;#event_1864_5
6;1864 г.;1864;Копия ОТЧЕТ ЕНИСЕЙСКОГО ГРАЖДАНСКОГО ГУБЕРНАТОРА ЕНИСЕЙСКОГО ГРАЖДАНСКОГО ГУБЕРНАТОРА ЗАЗА 1864 1864;#event_1864_6
7;1864 г.;1864;Копия ОТЧЕТ ЕНИСЕЙСКОГО ГРАЖДАНСКОГО ГУБЕРНАТОРА ЕНИСЕЙСКОГО ГРАЖДАНСКОГО ГУБЕРНАТОРА ЗАЗА 1864 1864;#event_1864_7
8;1864 г.;1864;Копия ОТЧЕТ ЕНИСЕЙСКОГО ГРАЖДАНСКОГО ГУБЕРНАТОРА ЕНИСЕЙСКОГО ГРАЖДАНСКОГО ГУБЕРНАТОРА ЗАЗА 1864 1864;#event_1864_8
9;1864 г.;1864;8 В. Дворянство В;#event_1864_9
10;1 января 1863 г.;1863-01-01;8 В. Дворянство В;#event_1864_10
11;1864 г.;1864;9 Ж. Заводы В;#event_1864_11
12;1863 г.;1863;9 Ж. Заводы В;#event_1864_12
13;1864 г.;1864;9 Ж. Заводы В;#event_1864_13
14;1863 г.;1863;9 Ж. Заводы В;#event_1864_14
15;1864 г.;1864;9 Ж. Заводы В;#event_1864_15
16;1864 г.;1864;"10  Лошадей — 6 768;  быков — 301;  для наблюдения за рабочими казачьей команды — 181;  из числа";#event_1864_16
17;1864 г.;1864;12 При таких наблюдениях выход рабочих с промыслов и следование в места жительства в;#event_1864_17
18;1864 г.;1864;12 При таких наблюдениях выход рабочих с промыслов и следование в места жительства в;#event_1864_18
19;1864 г.;1864;12 При таких наблюдениях выход рабочих с промыслов и следование в места жительства в;#event_1864_19
20;1863 г.;1863;12 При таких наблюдениях выход рабочих с промыслов и следование в места жительства в;#event_1864_20
21;1863 г.;1863;12 При таких наблюдениях выход рабочих с промыслов и следование в места жительства в;#event_1864_21
22;1864 г.;1864;13 И. Ярмарки Ярмарки в;#event_1864_22
23;1864 г.;1864;13 И. Ярмарки Ярмарки в;#event_1864_23
24;1865 г.;1865;13 И. Ярмарки Ярмарки в;#event_1864_24
25;1864 г.;1864;13 И. Ярмарки Ярмарки в;#event_1864_25
26;1864 г.;1864;13 И. Ярмарки Ярмарки в;#event_1864_26
27;1864 г.;1864;14 и имеет домохозяйство с огородами при домах, но большая часть не занимается хозяйством, несмотря ;#event_1864_27
28;1863 г.;1863;15 и табаку 533 пуд. 15 фун. Против;#event_1864_28
29;1864 г.;1864;15 и табаку 533 пуд. 15 фун. Против;#event_1864_29
30;1863 г.;1863;15 и табаку 533 пуд. 15 фун. Против;#event_1864_30
31;1863 г.;1863;15 и табаку 533 пуд. 15 фун. Против;#event_1864_31
32;1864 г.;1864;16 что рогатый скот, содержимый у некоторых поселенцев и переселенцев из внутренних губерний в сарая;#event_1864_32
33;1863 г.;1863;16 что рогатый скот, содержимый у некоторых поселенцев и переселенцев из внутренних губерний в сарая;#event_1864_33
34;1864 г.;1864;16 что рогатый скот, содержимый у некоторых поселенцев и переселенцев из внутренних губерний в сарая;#event_1864_34
35;1864 г.;1864;16 что рогатый скот, содержимый у некоторых поселенцев и переселенцев из внутренних губерний в сарая;#event_1864_35
36;1864 г.;1864;"17  недоимок — 27 103 руб. 601/2 коп.;  оклада — 315 637 руб. 821/2 коп. Исключено:  недоимок — 1";#event_1864_36
37;1863 г.;1863;"17  недоимок — 27 103 руб. 601/2 коп.;  оклада — 315 637 руб. 821/2 коп. Исключено:  недоимок — 1";#event_1864_37
38;1863 г.;1863;18 Распределение сего сбора по сословиям означено в ведомости под № 11, где показаны и отправленные ;#event_1864_38
39;1865 г.;1865;18 Распределение сего сбора по сословиям означено в ведомости под № 11, где показаны и отправленные ;#event_1864_39
40;1864 г.;1864;18 Распределение сего сбора по сословиям означено в ведомости под № 11, где показаны и отправленные ;#event_1864_40
41;7 января 1863 г.;1863-01-07;18 Распределение сего сбора по сословиям означено в ведомости под № 11, где показаны и отправленные ;#event_1864_41
42;1 января 1865 г.;1865-01-01;18 Распределение сего сбора по сословиям означено в ведомости под № 11, где показаны и отправленные ;#event_1864_42
43;1 января 1865 г.;1865-01-01;18 Распределение сего сбора по сословиям означено в ведомости под № 11, где показаны и отправленные ;#event_1864_43
44;31 июля 1864 г.;1864-07-31;18 Распределение сего сбора по сословиям означено в ведомости под № 11, где показаны и отправленные ;#event_1864_44
45;1864 г.;1864;19 Предложения об усилении городских доходов по г.;#event_1864_45
