id;Текст даты;Атрибут when;Контекст (для ИИ);event_ref
1;8 июня 1883 г.;1883-06-08;;#event_1882_1
2;9 июля 1883 г.;1883-07-09;;#event_1882_2
3;9 июля 1883 г.;1883-07-09;3 № 254;#event_1882_3
4;7 декабря 1879 г.;1879-12-07;3 № 254;#event_1882_4
5;1882 г.;1882;3 № 254;#event_1882_5
6;1882 год;1882;5 Опись бумагам, нахОдящимся в сем деле число листов № * * 1 2 Всеподданейший рапорт Государю Импера;#event_1882_6
7;1882 год;1882;6 Его Императорскому Величеству;#event_1882_7
8;1883 года;1883;6 Его Императорскому Величеству;#event_1882_8
9;8 июня 1883 года;1883-06-08;7 № 176;#event_1882_9
10;1882 г.;1882;7 № 176;#event_1882_10
11;1882 год;1882;7 № 176;#event_1882_11
12;1882 год;1882;7 № 176;#event_1882_12
13;8 июня 1868 г.;1868-06-08;10 Жителей всех сословий в губернии было 424 347 душ обоего пола, более предшествовавшего года на 3 ;#event_1882_13
14;1881 г.;1881;10 Жителей всех сословий в губернии было 424 347 душ обоего пола, более предшествовавшего года на 3 ;#event_1882_14
15;1881 г.;1881;10 Жителей всех сословий в губернии было 424 347 душ обоего пола, более предшествовавшего года на 3 ;#event_1882_15
16;1882 г.;1882;11 в настоящее время пользованию этим путем. Неудобство этого сообщения в непродолжительном времени ;#event_1882_16
17;1883 г.;1883;11 в настоящее время пользованию этим путем. Неудобство этого сообщения в непродолжительном времени ;#event_1882_17
18;1 января 1883 г.;1883-01-01;11 в настоящее время пользованию этим путем. Неудобство этого сообщения в непродолжительном времени ;#event_1882_18
19;1876 г.;1876;11 в настоящее время пользованию этим путем. Неудобство этого сообщения в непродолжительном времени ;#event_1882_19
20;1882 г.;1882;12;#event_1882_20
21;1881 г.;1881;21 700 верст, и вливается в Тазовскую губу. Кроме означенных рек, губернию орошают еще реки системы ;#event_1882_21
22;1882 г.;1882;21 700 верст, и вливается в Тазовскую губу. Кроме означенных рек, губернию орошают еще реки системы ;#event_1882_22
23;1882 г.;1882;23 Осенью 1881 и весною;#event_1882_23
24;1 января 1883 г.;1883-01-01;24 По округам Озимого Ярового Картофеля ЧЕТВЕРТЕЙ;#event_1882_24
25;8 июня 1868 г.;1868-06-08;25 В сравнении с предшествовавшим годом, хлеба в запасных магазинах было налицо более на 13 054 (6–1;#event_1882_25
26;1881 г.;1881;В июне В декабре  До;#event_1882_26
27;1882 г.;1882;30 Для осенних и зимних работ осталось служащих и рабочих на приисках:  1-й системы — 917  2-й сис;#event_1882_27
28;1882 г.;1882;Каназский 33872 1399720 34993 292 301,66 116 Александровский 101016 4139750 10349375 552 565,54 183 ;#event_1882_28
29;1 января 1883 г.;1883-01-01;33 и билетов 6 966, менее прошлого года на 137. Из числа выданных торговых свидетельств и билетов пр;#event_1882_29
30;1882 г.;1882;36 2. Умерших: муж. жен. об. пола. а) в городах 1293 825 2118 б) округах 8370 7249 15619 Итого: 9663;#event_1882_30
31;1 января 1883 г.;1883-01-01;36 2. Умерших: муж. жен. об. пола. а) в городах 1293 825 2118 б) округах 8370 7249 15619 Итого: 9663;#event_1882_31
32;1882 г.;1882;36 2. Умерших: муж. жен. об. пола. а) в городах 1293 825 2118 б) округах 8370 7249 15619 Итого: 9663;#event_1882_32
33;1 января 1883 г.;1883-01-01;"37 1 988 руб. 10 коп.; взыскано недоимок 15 159 руб. 6 коп. и оклада 109 914 руб. 22 коп.; осталось ";#event_1882_33
34;1882 г.;1882;"37 1 988 руб. 10 коп.; взыскано недоимок 15 159 руб. 6 коп. и оклада 109 914 руб. 22 коп.; осталось ";#event_1882_34
35;1 января 1883 г.;1883-01-01;"37 1 988 руб. 10 коп.; взыскано недоимок 15 159 руб. 6 коп. и оклада 109 914 руб. 22 коп.; осталось ";#event_1882_35
36;1 января 1883 г.;1883-01-01;"37 1 988 руб. 10 коп.; взыскано недоимок 15 159 руб. 6 коп. и оклада 109 914 руб. 22 коп.; осталось ";#event_1882_36
37;1876 г.;1876;"37 1 988 руб. 10 коп.; взыскано недоимок 15 159 руб. 6 коп. и оклада 109 914 руб. 22 коп.; осталось ";#event_1882_37
38;1882 г.;1882;38 Г. Отправление денежных повинностей Обывателями губернии отнесено денежных повинностей: 1) губерн;#event_1882_38
39;1882 г.;1882;38 Г. Отправление денежных повинностей Обывателями губернии отнесено денежных повинностей: 1) губерн;#event_1882_39
40;1 января 1883 г.;1883-01-01;39 В сравнении с минувшим годом, городские доходы уменьшились на 23 434 руб. 52 коп. и расходы на 29;#event_1882_40
41;16 июня 1870 г.;1870-06-16;39 В сравнении с минувшим годом, городские доходы уменьшились на 23 434 руб. 52 коп. и расходы на 29;#event_1882_41
42;1881 г.;1881;40 акциз 20 858 руб. 75 коп., в) с портера , пива и всех сортов меда 2 817 руб. 36 коп., г) за прода;#event_1882_42
43;1 января 1874 г.;1874-01-01;41 Все повинности, перечисленные в 186 ст. IV т. Устава о земск . повин ., отправляются по возможнос;#event_1882_43
44;1882 г.;1882;45 III. ОБЩЕСТВЕННОЕ БЛАГОУСТРОЙСТВО И БЛАГОЧИНИЕ А. Казенные и общественные здания Ремонтные работы;#event_1882_44
45;27 июля 1882 г.;1882-07-27;47 В. Водные сообщения Высочайше утвержденным;#event_1882_45
46;1883 г.;1883;47 В. Водные сообщения Высочайше утвержденным;#event_1882_46
47;1882 г.;1882;48 и 34 рабоч ., 3) „Николай“ — купца Сотникова в 50 сил, с 3 барками и 35 рабоч ., и 4) „Опыт“ — ку;#event_1882_47
48;1881 г.;1881;48 и 34 рабоч ., 3) „Николай“ — купца Сотникова в 50 сил, с 3 барками и 35 рабоч ., и 4) „Опыт“ — ку;#event_1882_48
49;1882 г.;1882;50 присвоении и растрате вверенного чужого движимого имущества — 0,7 %, святотатстве — 0,6 %, самово;#event_1882_49
50;1 января 1883 г.;1883-01-01;50 присвоении и растрате вверенного чужого движимого имущества — 0,7 %, святотатстве — 0,6 %, самово;#event_1882_50
51;1882 г.;1882;51 тюремного замка в отношении прочности удовлетворительно, но не соответствует числу содержащихся в;#event_1882_51
52;25 марта 1882 г.;1882-03-25;51 тюремного замка в отношении прочности удовлетворительно, но не соответствует числу содержащихся в;#event_1882_52
53;1883 г.;1883;51 тюремного замка в отношении прочности удовлетворительно, но не соответствует числу содержащихся в;#event_1882_53
54;1 января 1882 г.;1882-01-01;"52 удовлетворительны; в";#event_1882_54
55;1882 г.;1882;"52 удовлетворительны; в";#event_1882_55
56;1882 г.;1882;"52 удовлетворительны; в";#event_1882_56
