Наименование сборов,Следовало поступить - Недоимок - руб.,Следовало поступить - Недоимок - коп.,Следовало поступить - Оклада - руб.,Следовало поступить - Оклада - коп.,Вновь причислено - Недоимок - руб.,Вновь причислено - Недоимок - коп.,Вновь причислено - Оклада - руб.,Вновь причислено - Оклада - коп.
I. ПОДАТИ И ОКЛАДНЫЕ ПЛАТЕЖИ,,,,,,,,
1. Оброчной подати и дополнительно с ней сбора:,,,,,,,,
С государственных крестьян,134135,61,257447,66,1113,72 1/2,1199,42 1/2
Поступило на 1883 г.,—,—,—,—,—,—,—,—
С ссыльнопоселенцев:,,,,,,,,
Полного оклада,95880,39,21758,44,1093,86 3/4,1485,23
Поступило на 1883 г.,—,—,—,—,—,—,—,—
Половинного оклада,65362,24,18789,36 1/4,1508,20 1/4,2305,53 1/4
Поступило на 1883 г.,—,—,—,—,—,—,—,—
С купцов и мещан живущих в селениях,193,93,43,84,—,—,—,—
— оседлых инородцев,812,18,4405,89,—,—,—,3
— переселенцев,3418,66,—,—,—,—,—,—
Итого оброчной подати,299803,3,302445,19 1/4,3715,79 1/2,4990,23 3/4
Поступило на 1883 г.,—,—,—,—,—,—,—,—
2. Подушной подати совокупно с подушным сбором и мирским капиталом:,,,,,,,,
С государственных крестьян,46160,84,129038,69,174,90,593,71 1/2
Поступило на 1883 г.,—,—,—,—,—,—,—,—
С ссыльнопоселенцев:,,,,,,,,
Полного оклада,25878,29,10702,50,979,1 1/2,747,5
Поступило на 1883 г.,—,—,—,—,—,—,—,—
Половинного оклада,11274,85,6149,25,971,13 1/4,733,3 1/2
Поступило на 1883 г.,—,—,—,—,—,—,—,—
С купцов и мещан живущих в селениях,76,67,21,57,—,—,—,—
— оседлых инородцев,137,38,2246,90,26,7,—,—
Поступило на 1883 г.,—,—,—,—,—,—,—,—
Итого подушной подати,83528,3,148153,91,2151,12,2073,89
Поступило на 1883 г.,—,—,—,—,—,—,—,—
