Города и округа,В зимние месяцы - Число пожаров,В зимние месяцы - Число погоревших дворов,В зимние месяцы - Сумма убытков,В весенние месяцы - Число пожаров,В весенние месяцы - Число погоревших дворов,В весенние месяцы - Сумма убытков
В г. Красноярске,5,5,3342,3,3,5300
округе оного,2,3,2204,7,25,25000
г. Енисейске,—,—,—,—,—,—
округе оного,3,3,900,4,4,2438
г. Канске,—,—,—,—,—,—
округе оного,9,11,5405,9,2,4578
г. Ачинске,2,2,7300,1,1,1000
округе оного,—,—,—,2,2,170
г. Минусинске,1,1,50,—,—,—
округе оного,11,11,6056,14,15,15291
Итого,33,36,25257,40,52,53777
