Наименование сборов,Следовало поступить - Недоимок - руб.,Следовало поступить - Недоимок - коп.,Следовало поступить - Оклада - руб.,Следовало поступить - Оклада - коп.,Вновь причислено - Недоимок - руб.,Вновь причислено - Недоимок - коп.,Вновь причислено - Оклада - руб.,Вновь причислено - Оклада - коп.
— оседлых инородцев,791,78,1874,42,111,58,15,**
— кочевых инородцев,1507,—,6052,79,—,—,1,60
Итого губернской повинности,124186,97,155870,55,6030,92 3/4,1549,72
Поступило на 1883 г.,—,—,—,—,—,—,—,—
14. Частной * повинности:,,,,,,,,
С государственных крестьян,64408,30,91567,28,3477,33,423,73
— купцов и мещан,39,97,15,68,1,44,—,—
— оседлых инородцев,912,72,1575,84,59,32 1/4,18,62
— кочевых инородцев,1758,57,6645,42,—,—,—,—
— поселенцев,21110,78,7781,18,2453,22,568,21
Итого частной повинности,88231,34,107684,40,6691,31 1/4,1000,51
Поступило на 1883 г.,—,—,—,—,—,—,—,—
А всего по Енисейской губернии,640088,9,734529,44 1/2,19505,81 1/4,27194,*
Поступило на 1883 г.,—,—,—,—,—,—,—,—
