Исключено - Недоимок - руб.,Исключено - Недоимок - коп.,Исключено - Оклада - руб.,Исключено - Оклада - коп.,Вступило - Недоимок - руб.,Вступило - Недоимок - коп.,Вступило - Оклада - руб.,Вступило - Оклада - коп.,Осталось к 1 января 1883 г. - Недоимок - руб.,Осталось к 1 января 1883 г. - Недоимок - коп.,Осталось к 1 января 1883 г. - Оклада - руб.,Осталось к 1 января 1883 г. - Оклада - коп.,Осталось к 1 января 1883 г. - Всего - руб.,Осталось к 1 января 1883 г. - Всего - коп.
,,,,,,,,,,,,,,
528,66 1/4,37,85,907,38 1/4,2092,75,5066,80 1/2,3108,59,8175,39 1/2
42,42,—,31,—,—,2385,9,78,76,44,4,122,80
371,8 1/4,38,16,907,38 1/4,4475,84,5145,56 1/2,3152,63,8298,19 1/2
1307,15,341,72,3192,73,2837,60,1853,35,3681,68,8535,3
954,21,249,64,2833,90,548,91,5224,94 1/2,4209,66,9434,60 1/2
—,—,—,—,—,—,479,—,—,—,552,12,552,12
,,,,,,,,,,,,,,
96,45 1/4,328,55,954,62,15473,53,8081,86 1/4,1119,35,9201,21 3/4
—,—,—,—,—,—,182,30,—,—,—,—,—,—
,,,,,,,,,,,,,,
71,52,74,67,138,95 1/4,2334,56 1/4,2528,7 3/4,407,71 3/4,2935,79 1/2
—,—,—,—,—,16,—,18,2,65,—,30,2,95
—,—,—,3,3,68,42,37,8,62,6,41,15,3
—,—,—,2,—,—,199,9,—,19,4,41,4,60
71,52,74,72,142,79 1/2,2576,20 3/4,2539,53 3/4,418,83 3/4,2958,37 1/4
—,—,—,—,—,—,43,30,—,—,—,—,—,—
,,,,,,,,,,,,,,
145,17 1/4,77,57,192,15,3085,7,3102,30 1/2,592,28,3694,58 1/2
—,—,—,—,—,8,—,29,3,16,—,41,3,57
—,11,—,2,2,96,56,70,8,59,7,60,16,19
—,—,—,—,—,—,—,—,151,77,—,—,151,77
145,28 1/4,77,39,195,19,3141,—,3265,82 1/4,600,29,3866,11 1/4
—,—,—,—,—,—,49,39,—,—,—,—,—,—
141,27 1/4,—,—,—,—,—,—,—,—,—,—,691,59 3/4
,,,,,,,,,,,,,,
2748,62,377,14,736,68,4203,43 1/4,7653,80,1981,22 3/4,9635,2 3/4
—,—,—,—,—,—,136,39,—,—,—,—,—,—
—,—,6000,—,—,—,4101,25,—,—,—,—,—,—
,,,,,,,,,,,,,,
527,55,104,11,2627,5,7622,53,18839,6,5957,52,24796,65
7292,83 1/4,1062,8 1/4,10031,5,92368,13 1/4,47833,14 1/4,12528,57 1/4,60367,71 3/4
—,1,—,82,2,42,6,10,388,24,10,73,398,97
5292,93,806,86 1/4,1922,60,2600,38 1/2,33044,85,6708,73 3/4,39765,59 1/4
