Исключено - Недоимок - руб.,Исключено - Недоимок - коп.,Исключено - Оклада - руб.,Исключено - Оклада - коп.,Вступило - Недоимок - руб.,Вступило - Недоимок - коп.,Вступило - Оклада - руб.,Вступило - Оклада - коп.,Осталось к 1 января 1883 г. - Недоимок - руб.,Осталось к 1 января 1883 г. - Недоимок - коп.,Осталось к 1 января 1883 г. - Оклада - руб.,Осталось к 1 января 1883 г. - Оклада - коп.,Осталось к 1 января 1883 г. - Всего - руб.,Осталось к 1 января 1883 г. - Всего - коп.
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
10237,64,3165,51,12222,5 1/2,211876,11 1/2,112749,64,43605,43,156395,7
—,—,—,—,—,—,1003,76,—,—,—,—,—,—
,,,,,,,,,,,,,,
24553,82 1/4,1772,82,3245,53 1/4,5985,34 1/2,69174,89 1/4,15185,52 1/2,84660,42 1/4
—,—,—,—,—,—,283,23,—,—,—,—,—,—
12835,10 1/2,2505,2,4164,11 1/2,6272,35 1/4,49870,92 1/4,12317,52 1/4,62188,44 1/2
—,—,—,—,—,—,705,64,—,—,—,—,—,—
—,33,—,—,5,48,18,9,188,14,25,75,213,89
170,57 1/2,7,43,228,25,5932,66 1/4,413,35 1/2,465,82 1/2,879,18
—,—,—,—,—,—,—,—,3418,66,—,—,3418,66
47797,77 1/4,7450,78,19865,43 1/4,228081,60,235833,61 1/2,71900,5 1/4,307755,66 3/4
—,—,—,—,—,—,1994,—,—,—,—,—,—,—
,,,,,,,,,,,,,,
3203,97 1/4,1951,4,7344,93 1/4,103246,91,35781,67,24434,45 1/2,60216,12 1/2
—,—,—,—,—,—,366,9,—,—,—,—,—,—
,,,,,,,,,,,,,,
4140,60 1/2,892,19,1447,97 1/4,2914,76 1/4,21268,72 1/2,7642,59 3/4,28911,32 1/4
—,—,—,—,—,—,144,83,—,—,—,—,—,—
2675,73 3/4,807,8,1120,75,2120,90 1/4,8449,51 3/4,5954,30,12403,81 3/4
—,—,—,—,—,—,277,54,—,—,—,—,—,—
4,12,—,29,2,71,9,23,69,84,12,5,81,89
3,23,43,82,141,19,1933,90,19,1,269,18,288,19
—,—,—,—,—,—,15,4,—,—,—,—,—,—
10033,68 1/3,3694,42,10056,70 1/4,110225,70 1/4,65588,76 1/4,36312,68 1/4,101901,54 1/2
—,—,—,—,—,—,803,50,—,—,—,—,—,—
