Роды преступлений,Число преступлений,Число осужденных - М.,Число осужденных - Ж.,В том числе - Дворян потомственных - М.,В том числе - Дворян потомственных - Ж.,В том числе - Дворян личных - М.,В том числе - Дворян личных - Ж.,В том числе - Почетных граждан и купцов - М.,В том числе - Почетных граждан и купцов - Ж.,В том числе - Духовного звания - М.,В том числе - Духовного звания - Ж.,В том числе - Мещан - М.,В том числе - Мещан - Ж.,В том числе - Крестьян и причисленных в крестьяне ссыльных - М.,В том числе - Крестьян и причисленных в крестьяне ссыльных - Ж
Преступления против общественной нравственности,5,6,—,—,—,—,—,—,—,—,—,—,—,2,—
Нарушение против устава строительного,2,4,—,—,—,—,—,—,—,4,—,—,—
Нарушение уставов почтовых и телеграфных,4,6,—,—,—,—,—,—,—,—,—,—,—,6,—
Присвоение прав состояния или особых оного преимуществ или же звания или почетных должностей титулов и иных отличий,1,1,—,—,—,—,—,1,—,—,—
Смертоубийство,189,328,52,—,—,2,—,1,—,2,—,21,1,201,36
Самоубийство,10,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Нанесение увечья ран и других повреждений,40,72,5,—,—,—,—,—,—,—,—,3,1,47,3
Преступления против чести и целомудрия женщин,14,22,—,—,—,—,—,—,—,—,—,—,—,16,—
Личные оскорбления,29,32,3,—,—,—,—,—,—,—,—,5,1,27,1
Преступления против союза брачного,9,10,3,—,—,—,—,1,1,—,—,3,1,5,1
Преступления детей против родителей,78,82,3,—,—,—,—,—,1,—,—,18,—,18,2
Насильственное завладение чужим недвижимым имуществом,2,2,—,—,—,—,—,—,—,—,—,—,—,2,—
Зажигательство,59,63,6,—,—,—,—,—,—,—,—,5,1,31,3
Истребление и повреждение чужго имущества взрывом пороха проч.,1,3,—,—,—,—,—,—,—,—,—,—,—,3,—
Разбой,5,20,—,—,—,—,—,—,—,—,—,—,—,8,—
Грабеж,55,143,8,—,—,—,—,—,—,2,—,16,—,81,6
Воровство-кража,356,634,43,—,—,—,—,3,1,1,1,52,4,212,19
Воровство-мошенничество,5,5,—,—,—,—,—,—,—,—,—,2,—,2,—
Присвоение и утайка чужой собственности,1,1,—,—,—,—,—,—,—,—,—,1,—,—,—
Присвоение и растрата вверенного чужого движимого имущества,6,13,2,—,—,1,—,1,—,—,—,2,—,—,2
Преступления и проступки по договорам и другим обязательствам,5,8,—,—,—,—,—,—,—,—,—,4,—,—,—
Происшествие,21,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Итого,1026,1757,157,—,1,12,—,12,4,10,1,159,12,975,91
