ID;Текст даты;Атрибут when;Контекст (для ИИ);event-ref (заполнить)
1;8 июня 1883 г.;1883-06-08;;
2;9 июля 1883 г.;1883-07-09;;
3;9 июля 1883 г.;1883-07-09;3 № 254;
4;7 декабря 1879 г.;1879-12-07;3 № 254;
5;1882 г.;1882;3 № 254;
6;1882 год;1882;5 Опись бумагам, нахОдящимся в сем деле число листов № * * 1 2 Всеподданейший рапорт Государю Импера;
7;1882 год;1882;6 Его Императорскому Величеству;
8;1883 года;1883;6 Его Императорскому Величеству;
9;8 июня 1883 года;1883-06-08;7 № 176;
10;1882 г.;1882;7 № 176;
11;1882 год;1882;7 № 176;
12;1882 год;1882;7 № 176;
13;8 июня 1868 г.;1868-06-08;10 Жителей всех сословий в губернии было 424 347 душ обоего пола, более предшествовавшего года на 3 ;
14;1881 г.;1881;10 Жителей всех сословий в губернии было 424 347 душ обоего пола, более предшествовавшего года на 3 ;
15;1881 г.;1881;10 Жителей всех сословий в губернии было 424 347 душ обоего пола, более предшествовавшего года на 3 ;
16;1882 г.;1882;11 в настоящее время пользованию этим путем. Неудобство этого сообщения в непродолжительном времени ;
17;1883 г.;1883;11 в настоящее время пользованию этим путем. Неудобство этого сообщения в непродолжительном времени ;
18;1 января 1883 г.;1883-01-01;11 в настоящее время пользованию этим путем. Неудобство этого сообщения в непродолжительном времени ;
19;1876 г.;1876;11 в настоящее время пользованию этим путем. Неудобство этого сообщения в непродолжительном времени ;
20;1882 г.;1882;12;
21;1881 г.;1881;21 700 верст, и вливается в Тазовскую губу. Кроме означенных рек, губернию орошают еще реки системы ;
22;1882 г.;1882;21 700 верст, и вливается в Тазовскую губу. Кроме означенных рек, губернию орошают еще реки системы ;
23;1882 г.;1882;23 Осенью 1881 и весною;
24;1 января 1883 г.;1883-01-01;24 По округам Озимого Ярового Картофеля ЧЕТВЕРТЕЙ;
25;8 июня 1868 г.;1868-06-08;25 В сравнении с предшествовавшим годом, хлеба в запасных магазинах было налицо более на 13 054 (6–1;
26;1881 г.;1881;В июне В декабре  До;
27;1882 г.;1882;30 Для осенних и зимних работ осталось служащих и рабочих на приисках:  1-й системы — 917  2-й сис;
28;1882 г.;1882;Каназский 33872 1399720 34993 292 301,66 116 Александровский 101016 4139750 10349375 552 565,54 183 ;
29;1 января 1883 г.;1883-01-01;33 и билетов 6 966, менее прошлого года на 137. Из числа выданных торговых свидетельств и билетов пр;
30;1882 г.;1882;36 2. Умерших: муж. жен. об. пола. а) в городах 1293 825 2118 б) округах 8370 7249 15619 Итого: 9663;
31;1 января 1883 г.;1883-01-01;36 2. Умерших: муж. жен. об. пола. а) в городах 1293 825 2118 б) округах 8370 7249 15619 Итого: 9663;
32;1882 г.;1882;36 2. Умерших: муж. жен. об. пола. а) в городах 1293 825 2118 б) округах 8370 7249 15619 Итого: 9663;
33;1 января 1883 г.;1883-01-01;"37 1 988 руб. 10 коп.; взыскано недоимок 15 159 руб. 6 коп. и оклада 109 914 руб. 22 коп.; осталось ";
34;1882 г.;1882;"37 1 988 руб. 10 коп.; взыскано недоимок 15 159 руб. 6 коп. и оклада 109 914 руб. 22 коп.; осталось ";
35;1 января 1883 г.;1883-01-01;"37 1 988 руб. 10 коп.; взыскано недоимок 15 159 руб. 6 коп. и оклада 109 914 руб. 22 коп.; осталось ";
