"Поступило в казну губернии: Руб.","Поступило в казну губернии: Коп.","Зачтено за прежние годы: Руб.","Зачтено за прежние годы: Коп.","Исключено по др. губерниям: Руб.","Исключено по др. губерниям: Коп.","Итого: Руб.","Итого: Коп.","Поступило будущих лет: Руб.","Поступило будущих лет: Коп.","Недоимки 1896: Подлежащие: Руб.","Недоимки 1896: Подлежащие: Коп.","Недоимки 1896: В след. отчетном: Руб.","Недоимки 1896: В след. отчетном: Коп.","Недоимки 1896: ВСЕГО: Руб.","Недоимки 1896: ВСЕГО: Коп."
"4 019","86 1/4","—","—","—","—","4 019","86 1/4","—","—","793","8 1/2","—","—","793","8 1/2"
"157 631","94 1/2","357","23","—","—","157 988","17 1/2","551","4 1/4","102 502","20 3/4","879","52 1/2","103 381","73 1/2"
"3 560","10 3/4","12","79 1/2","—","—","3 572","89 1/2","483","65","3 650","46 1/4","8","—","3 658","46 1/4"
"1 346","27","31","81 1/2","—","—","1 578","8 1/2","9","41 3/4","5 207","75 3/4","—","—","5 207","75 3/4"
"96","19","—","1","—","—","96","20","—","18 1/2","484","55 1/4","—","—","484","55 1/4"
"38","42","1","87","—","—","40","29","—","62 1/2","40","36 3/4","—","—","40","36 3/4"
"6","52 1/2","—","3 1/2","—","—","6","56","—","1/2","25","46 1/2","—","—","25","46 1/2"
"210","47","—","—","—","—","210","47","—","95","32","95 3/4","—","—","32","95 3/4"
"209","62 1/2","12","8 1/2","—","—","221","71 1/2","5","2 3/4","4 567","3 3/4","—","—","4 567","3 3/4"
"5 667","60 3/4","58","61 1/2","—","—","5 726","21 3/4","499","86","14 014","60 3/4","8","—","14 022","60 3/4"
"4 143","66","—","—","—","—","4 143","66","35","38","129","80","—","—","129","80"
"15 952","69 1/4","419","95","—","—","16 372","64 1/4","228","88 1/4","11 784","44","—","—","11 784","44"
"114","19","—","—","—","—","114","19","—","—","1 569","42","47","12","1 616","54"
"733","30 1/4","21","5","—","—","754","35 1/4","20","24","1 920","16 3/4","—","—","1 920","16 3/4"
"1 153","92 1/4","66","68 1/4","—","—","1 220","60 1/2","56","45","776","52 3/4","—","—","776","32 3/4"
"1 887","23 1/2","87","73 1/2","—","—","1 974","96 3/4","76","69","2 696","69 3/4","—","—","2 636","69 3/4"
"627 369","7 1/4","3 575","70","—","—","630 044","77 1/4","1 250","80 1/4","498 948","90 1/4","10 611","1","509 550","91 1/4"
