"Окладных сборов","Уездов и разрядов плательщиков","Недоимок на 1 янв 1895: Всего: Руб.","Недоимок на 1 янв 1895: Всего: Коп.","Недоимок на 1 янв 1895: В отчетном году: Руб.","Недоимок на 1 янв 1895: В отчетном году: Коп.","Недоимок на 1 янв 1895: В след. годы: Руб.","Недоимок на 1 янв 1895: В след. годы: Коп.","Оклад: Руб.","Оклад: Коп.","Подлежало в отчетном году: Недоимок: Руб.","Подлежало в отчетном году: Недоимок: Коп.","Подлежало в отчетном году: *: Руб.","Подлежало в отчетном году: *: Коп."
"Частная повинность","С удобных земель городов","812","95 1/4","812","95 1/4","—","—","3 999","99","812","95 1/4","399..","—"
"Частная повинность","ИТОГО","124 738","39","123 858","86 1/4","879","52 1/2","154 871","57","107 081","75 1/4","1 515*","52 1/2"
"Частная повинность","С крестьян старожилов","3 823","46","3 821","46","8","—","2 453","31","4 753","31 1/4","2 475","—"
"Частная повинность","С крестьян из ссыльных","8 801","72 1/4","8 801","72 1/4","—","—","308","70","6 505","69 1/2","384","—"
"Частная повинность","С крестьян из казаков","562","2","562","2","—","—","18","99","562","4 1/4","11*","—"
"Частная повинность","С оседлых инородцев","40","81 1/4","40","81 1/4","—","—","45","84","40","81 1/4","41","—"
"Частная повинность","С купцов и мещан в селениях","1","62","1","62","—","—","1","77","30","4 1/4","1","—"
"Частная повинность","С кочевых инородцев","41","28 1/4","41","28 1/4","—","—","202","14","41","28 1/4","202","—"
"Частная повинность","С поселенцев полного оклада","5 151","39 1/4","5 151","39 1/4","—","—","253","74","4 560","53","225","—"
"Частная повинность","ИТОГО","18 428","33","18 420","33","8","—","3 284","49","16 493","73","3 251","—"
"Оброчная подать","С оседлых инородцев","172","59","172","59","—","—","4 186","72","86","74","4 181","—"
"Ясачный сбор","С кочевых и бродячих инородцев","11 417","49 1/2","11 417","49 1/2","—","—","16 777","5","11 376","46 1/4","1 675","—"
"Пожарный капитал","","1 909","90 1/4","1 862","78 1/4","47","12","—","—","1 730","73","—","12"
"Экономический капитал","С поселенцев полного оклада","2 441","39 1/4","2 441","39 1/4","—","—","1 269","49","1 522","5 1/4","1 132","—"
"Экономический капитал","Половинного","2 204","97 1/2","2 204","97 1/2","—","—","1 559","25","753","47 1/2","1 215","—"
"Экономический капитал","ИТОГО","4 646","36 1/2","4 646","36 1/2","—","—","2 828","74","2 275","52 1/4","2 395","—"
"ВСЕГО ПО ГУБЕРНИИ","","633 355","37 1/4","622 206","15 1/4","11 149","22","630 851","8 1/4","508 574","57 1/4","6 217","224 143"
