"Статья капитала","Оставалось: Р.","Оставалось: К.","В приходе: Р.","В приходе: К.","В расходе: Р.","В расходе: К.","Осталось: Р.","Осталось: К."
"Принадлежащего собственно приказу 1-го разряда капитала","73758","41 1/4","87020","12","74374","60 1/4","86403","93 1/2"
"Капитала 2-го разряда: 1) На предназначенное употребление: на постройку больниц","168165","77","13461","71 1/2","12103","67","169523","81 1/2"
"Капитала 2-го разряда: 2) На уничтожение в Ачинском и Минусинском округах сифилиса","3697","81","—","—","—","—","3697","81"
"Капитала 2-го разряда: 3) Кружечного сбора в пользу богоугодных заведений","1005","56","168","26 1/4","—","—","1173","82 1/4"
