ID;Текст даты;Атрибут when;Контекст (для ИИ);event-ref (заполнить)
1;1895 г.;1895;5 ОБЗОР ЕНИСЕЙСКОЙ ГУБЕРНИИ ЗА;
2;1895 год;1895;6 I. ЕСТЕСТВЕННЫЕ И ПРОИЗВОДИТЕЛЬНЫЕ СИЛЫ ГУБЕРНИИ И ЭКОНОМИЧЕСКАЯ ДЕЯТЕЛЬНОСТЬ НАСЕЛЕНИЯ А) ЗЕМЛЕДЕ;
3;1886 год;1886;6 I. ЕСТЕСТВЕННЫЕ И ПРОИЗВОДИТЕЛЬНЫЕ СИЛЫ ГУБЕРНИИ И ЭКОНОМИЧЕСКАЯ ДЕЯТЕЛЬНОСТЬ НАСЕЛЕНИЯ А) ЗЕМЛЕДЕ;
4;1882 г.;1882;6 I. ЕСТЕСТВЕННЫЕ И ПРОИЗВОДИТЕЛЬНЫЕ СИЛЫ ГУБЕРНИИ И ЭКОНОМИЧЕСКАЯ ДЕЯТЕЛЬНОСТЬ НАСЕЛЕНИЯ А) ЗЕМЛЕДЕ;
5;1895 г.;1895;6 I. ЕСТЕСТВЕННЫЕ И ПРОИЗВОДИТЕЛЬНЫЕ СИЛЫ ГУБЕРНИИ И ЭКОНОМИЧЕСКАЯ ДЕЯТЕЛЬНОСТЬ НАСЕЛЕНИЯ А) ЗЕМЛЕДЕ;
6;1882 г.;1882;7 что пшеница и ярица сеются в губернии почти в равном количестве. Культура картофеля, если сравнить;
7;1896 г.;1896;7 что пшеница и ярица сеются в губернии почти в равном количестве. Культура картофеля, если сравнить;
8;1895 г.;1895;9 к распахиванию все новых и новых земель, с истреблением на них лесов и сниманию с них в продолжени;
9;1894 г.;1894;12 Зимою. Весною. Летом. Осенью. В округах: руб. коп. руб. коп. руб. коп. руб. коп.;
10;1896 года;1896;14 Б) ОБЕСПЕЧЕНИЕ НАРОДНОГО ПРОДОВОЛЬСТВИЯ. К 1-му января;
11;1894 г.;1894;14 Б) ОБЕСПЕЧЕНИЕ НАРОДНОГО ПРОДОВОЛЬСТВИЯ. К 1-му января;
12;1894 г.;1894;14 Б) ОБЕСПЕЧЕНИЕ НАРОДНОГО ПРОДОВОЛЬСТВИЯ. К 1-му января;
13;1895 год;1895;15 Цены в;
14;1895 года;1895;15 Цены в;
15;1895 г.;1895;15 Цены в;
16;1895 г.;1895;15 Цены в;
17;1894 г.;1894;16 не хватит 14 654 чт. В;
18;1895 г.;1895;16 не хватит 14 654 чт. В;
19;1894 г.;1894;16 не хватит 14 654 чт. В;
20;1895 г.;1895;16 не хватит 14 654 чт. В;
21;1895 г.;1895;16 не хватит 14 654 чт. В;
22;1 января 1886 г.;1886-01-01;16 не хватит 14 654 чт. В;
23;1895 г.;1895;17 Государственного Банка за № 17 863 в сумме 75 053 руб. 29 коп. и процентными бумагами на 20 000 р;
24;1894 г.;1894;18 В) ПРОМЫСЛЫ ГОРОДСКОГО И СЕЛЬСКОГО НАСЕЛЕНИЯ И Г) ПРОМЫШЛЕННОСТЬ ЗАВОДСКАЯ И ФАБРИЧНАЯ (Приложени;
25;1895 года;1895;21 Промыслы — рыболовство и звероловство преобладают почти исключительно в северной части губернии, ;
26;1895 г.;1895;21 Промыслы — рыболовство и звероловство преобладают почти исключительно в северной части губернии, ;
27;1882 года;1882;24 с приисков на железнодорожные в;
28;15 февраля 1894 года;1894-02-15;27 В ЗАВОДАХ ПО ОКРУГАМ Перекурено в вино пудов муки. ПОЛУЧЕНО.ПОЛУЧЕНО. Среднее число пудов употреб;
29;15 июля 1895 г.;1895-07-15;27 В ЗАВОДАХ ПО ОКРУГАМ Перекурено в вино пудов муки. ПОЛУЧЕНО.ПОЛУЧЕНО. Среднее число пудов употреб;
30;30 ноября 1840 года;1840-11-30;27 В ЗАВОДАХ ПО ОКРУГАМ Перекурено в вино пудов муки. ПОЛУЧЕНО.ПОЛУЧЕНО. Среднее число пудов употреб;
31;15 февраля 1894 года;1894-02-15;28 не проведенною в жизнь и не внесла улучшения в положение сибирских лесов. Когда же началась постр;
32;1895 г.;1895;29 вошел в состав первого в;
33;1 января 1896 г.;1896-01-01;34 II. ПОДАТИ И ПОВИННОСТИ. (Приложением к этой статье служит ведомость № 4). А) ОКЛАДНЫЕ ВЗЫСКАНИЯ.;
34;1895 г.;1895;34 II. ПОДАТИ И ПОВИННОСТИ. (Приложением к этой статье служит ведомость № 4). А) ОКЛАДНЫЕ ВЗЫСКАНИЯ.;
35;1 января 1896 г.;1896-01-01;34 II. ПОДАТИ И ПОВИННОСТИ. (Приложением к этой статье служит ведомость № 4). А) ОКЛАДНЫЕ ВЗЫСКАНИЯ.;
36;1895 г.;1895;34 II. ПОДАТИ И ПОВИННОСТИ. (Приложением к этой статье служит ведомость № 4). А) ОКЛАДНЫЕ ВЗЫСКАНИЯ.;
37;1895 г.;1895;34 II. ПОДАТИ И ПОВИННОСТИ. (Приложением к этой статье служит ведомость № 4). А) ОКЛАДНЫЕ ВЗЫСКАНИЯ.;
38;1 января 1896 г.;1896-01-01;35 платежей отчетного года поступило 157 989 руб. 17½½ коп. Осталось в недоимках к;
39;1 января 1895 г.;1895-01-01;35 платежей отчетного года поступило 157 989 руб. 17½½ коп. Осталось в недоимках к;
40;1895 г.;1895;35 платежей отчетного года поступило 157 989 руб. 17½½ коп. Осталось в недоимках к;
41;1 января 1896 г.;1896-01-01;35 платежей отчетного года поступило 157 989 руб. 17½½ коп. Осталось в недоимках к;
42;1895 г.;1895;35 платежей отчетного года поступило 157 989 руб. 17½½ коп. Осталось в недоимках к;
43;1896 г.;1896;35 платежей отчетного года поступило 157 989 руб. 17½½ коп. Осталось в недоимках к;
44;1894 г.;1894;35 платежей отчетного года поступило 157 989 руб. 17½½ коп. Осталось в недоимках к;
45;1895 год;1895;36 1 508 руб. 75 коп., с пива и меда 15 890 руб. 52 коп., за патенты 145 281 руб. 46 коп., штрафов 2;
46;1892 года;1892;40 55½½ коп. Чистой прибыли получено в 1-м банке — 12 514 руб. 80 коп., во 2-м— 8 109 руб. 72 коп. и;
47;1895 год;1895;40 55½½ коп. Чистой прибыли получено в 1-м банке — 12 514 руб. 80 коп., во 2-м— 8 109 руб. 72 коп. и;
48;1 января 1874 года;1874-01-01;41 6) Поимка беглых, препровождение их 4 733 808 1-го м. 7) Прекращение лесных пожаров 48 35 временн;
49;1882 г.;1882;51 В устраиваемом по ВЫСОЧАЙШЕМУ повелению, последовавшему в 27 день июля;
50;1 января 1895 г.;1895-01-01;51 В устраиваемом по ВЫСОЧАЙШЕМУ повелению, последовавшему в 27 день июля;
51;1895 года;1895;51 В устраиваемом по ВЫСОЧАЙШЕМУ повелению, последовавшему в 27 день июля;
52;1895 г.;1895;51 В устраиваемом по ВЫСОЧАЙШЕМУ повелению, последовавшему в 27 день июля;
53;1895 г.;1895;51 В устраиваемом по ВЫСОЧАЙШЕМУ повелению, последовавшему в 27 день июля;
54;1896 г.;1896;51 В устраиваемом по ВЫСОЧАЙШЕМУ повелению, последовавшему в 27 день июля;
55;1896 года;1896;53 В препятствиях по р. Ангаре: взорвано под водой и отвезено на сторону хозяйственным и подрядным с;
56;1 июня 1896 г.;1896-06-01;53 В препятствиях по р. Ангаре: взорвано под водой и отвезено на сторону хозяйственным и подрядным с;
57;1896 г.;1896;53 В препятствиях по р. Ангаре: взорвано под водой и отвезено на сторону хозяйственным и подрядным с;
58;1894 год;1894;53 В препятствиях по р. Ангаре: взорвано под водой и отвезено на сторону хозяйственным и подрядным с;
59;1895 год;1895;59 всего этого, необлагоприятно влияют на него в нравственном отношении. К отчетному году оставалось;
60;1896 г.;1896;59 всего этого, необлагоприятно влияют на него в нравственном отношении. К отчетному году оставалось;
61;1885 г.;1885;60 строилась арестантским трудом из материалов, выписанных из России при содействии Главного Тюремно;
62;1885 год;1885;61;
63;1 января 1895 года;1895-01-01;61;
64;1895 года;1895;61;
65;1896 года;1896;61;
66;1896 год;1896;61;
67;1895 года;1895;62 Арестантския железно- дорожные работы под;
68;1895 г.;1895;"63 они втягивались в работу в продолжении двух, трех недель; окончившие срок заключения, получив на ";
69;1895 год;1895;65 IV. НАРОДНОЕ ЗДРАВИЕ И ОБЩЕСТВЕННОЕ ПРИЗРЕНИЕ. А) ВРАЧИ. Всех врачей по;
70;1895 г.;1895;67 рук по современным справочным ценам, на постройку зданий больницы назначены торги. Для;
71;1895 год;1895;67 рук по современным справочным ценам, на постройку зданий больницы назначены торги. Для;
72;1896 г.;1896;67 рук по современным справочным ценам, на постройку зданий больницы назначены торги. Для;
73;1895 г.;1895;68 попечительного общества о тюрьмах и его отделений:;
74;1895 год;1895;68 попечительного общества о тюрьмах и его отделений:;
75;1896 г.;1896;68 попечительного общества о тюрьмах и его отделений:;
76;1895 год;1895;"70 разного звания, в которой содержалось 18 мущ., 7 женщ.; б) родовспомогательное отделение с приюто";
77;1875 год;1875;"70 разного звания, в которой содержалось 18 мущ., 7 женщ.; б) родовспомогательное отделение с приюто";
78;1874 год;1874;"70 разного звания, в которой содержалось 18 мущ., 7 женщ.; б) родовспомогательное отделение с приюто";
79;24 мая 1874 г.;1874-05-24;"70 разного звания, в которой содержалось 18 мущ., 7 женщ.; б) родовспомогательное отделение с приюто";
80;1896 г.;1896;"70 разного звания, в которой содержалось 18 мущ., 7 женщ.; б) родовспомогательное отделение с приюто";
81;7 июля 1884 г.;1884-07-07;"70 разного звания, в которой содержалось 18 мущ., 7 женщ.; б) родовспомогательное отделение с приюто";
82;1888 года;1888;"70 разного звания, в которой содержалось 18 мущ., 7 женщ.; б) родовспомогательное отделение с приюто";
83;14 января 1892 г.;1892-01-14;"70 разного звания, в которой содержалось 18 мущ., 7 женщ.; б) родовспомогательное отделение с приюто";
84;13 сентября 1891 г.;1891-09-13;"70 разного звания, в которой содержалось 18 мущ., 7 женщ.; б) родовспомогательное отделение с приюто";
85;1895 год;1895;"70 разного звания, в которой содержалось 18 мущ., 7 женщ.; б) родовспомогательное отделение с приюто";
86;1895 года;1895;"70 разного звания, в которой содержалось 18 мущ., 7 женщ.; б) родовспомогательное отделение с приюто";
87;1895 год;1895;71 в;
88;4 апреля 1866 года;1866-04-04;71 в;
89;1896 г.;1896;71 в;
90;1895 год;1895;72 Оставалось. В приходе. В расходе. Осталось. Р. К. Р. К. Р. К. Р. К. Капитала 3-го разряда: 1) Апе;
91;1896 г.;1896;73 Капитала 3 разряда апелляционного: а) книжка сберегательной кассы 528 руб. 82 коп., б) деньгами 2;
92;1894 г.;1894;73 Капитала 3 разряда апелляционного: а) книжка сберегательной кассы 528 руб. 82 коп., б) деньгами 2;
93;1895 год;1895;73 Капитала 3 разряда апелляционного: а) книжка сберегательной кассы 528 руб. 82 коп., б) деньгами 2;
94;1890 год;1890;73 Капитала 3 разряда апелляционного: а) книжка сберегательной кассы 528 руб. 82 коп., б) деньгами 2;
95;1889 год;1889;73 Капитала 3 разряда апелляционного: а) книжка сберегательной кассы 528 руб. 82 коп., б) деньгами 2;
96;1894 г.;1894;73 Капитала 3 разряда апелляционного: а) книжка сберегательной кассы 528 руб. 82 коп., б) деньгами 2;
97;1 января 1896 года;1896-01-01;74 в начальных училищах в отчетном году также улучшилась. К числу улучшений относятся: введение в шк;
98;1895 год;1895;76 о движении в;
99;1894 г.;1894;76 о движении в;
100;1895 год;1895;76 о движении в;
101;1895 года;1895;76 о движении в;
102;1894 год;1894;76 о движении в;
103;1894 год;1894;76 о движении в;
104;1895 год;1895;77 по следующим волостям: в Назаровской 15 участков, в Большеулуйской 10 участков и в Покровской 11 ;
105;1895 года;1895;78 площадью в 138 844 десятин. Летом;
106;1895 года;1895;92 НАИМЕНОВАНИЕ. По счетам на 1-е января;
107;1896 года;1896;92 НАИМЕНОВАНИЕ. По счетам на 1-е января;
108;1896 года;1896;92 НАИМЕНОВАНИЕ. По счетам на 1-е января;
109;1895 год;1895;92 НАИМЕНОВАНИЕ. По счетам на 1-е января;
110;1895 года;1895;93 НАИМЕНОВАНИЕ. По счетам на 1-е января;
111;1896 года;1896;93 НАИМЕНОВАНИЕ. По счетам на 1-е января;
112;1896 года;1896;93 НАИМЕНОВАНИЕ. По счетам на 1-е января;
113;1895 год;1895;93 НАИМЕНОВАНИЕ. По счетам на 1-е января;
114;1895 года;1895;94 НАИМЕНОВАНИЕ. По счетам на 1-е января;
115;1896 года;1896;94 НАИМЕНОВАНИЕ. По счетам на 1-е января;
116;1896 года;1896;94 НАИМЕНОВАНИЕ. По счетам на 1-е января;
117;1895 года;1895;95 НАИМЕНОВАНИЕ. По счетам на 1-е января;
118;1896 года;1896;95 НАИМЕНОВАНИЕ. По счетам на 1-е января;
119;1896 года;1896;95 НАИМЕНОВАНИЕ. По счетам на 1-е января;
120;1895 года;1895;96 НАИМЕНОВАНИЕ. По счетам на 1-е января;
121;1896 года;1896;96 НАИМЕНОВАНИЕ. По счетам на 1-е января;
122;1896 года;1896;96 НАИМЕНОВАНИЕ. По счетам на 1-е января;
123;1895 года;1895;97 НАИМЕНОВАНИЕ. По счетам на 1-е января;
124;1896 года;1896;97 НАИМЕНОВАНИЕ. По счетам на 1-е января;
125;1896 года;1896;97 НАИМЕНОВАНИЕ. По счетам на 1-е января;
