"Наименование преступлений","Число преступлений и дел","Число осужденных: М.","Число осужденных: Ж.","Дворян потомственных: М.","Дворян потомственных: Ж.","Дворян личных: М.","Дворян личных: Ж.","Почетных граждан и купцов: М.","Почетных граждан и купцов: Ж.","Духовного звания: М.","Духовного звания: Ж.","Мещан: М.","Мещан: Ж.","Крестьян: М.","Крестьян: Ж."
"По уложению о наказаниях: О краже 1644—1664","250","351","46","1","—","—","—","1","—","—","—","48","9","208","*"
"О смертоубийстве 1419—1470","103","131","12","—","—","—","—","—","—","—","—","7","—","56","*"
"О самоубийстве 1472—1476","6","—","—","—","—","—","—","—","—","—","—","—","—","—","—"
"О преступлениях детей против родителей и по др. 1591—1592","292","319","9","—","—","3","—","—","—","—","—","89","3","199","*"
"О преступлениях против союза родственного 1593—1597","5","6","2","—","1","—","—","—","—","1","—","—","—","5","*"
"О грабеже 1637—1643","93","122","3","1","—","—","—","—","—","—","—","10","—","75","*"
"Об истреблении чужого имущества 1616—1625","3","2","1","—","—","—","—","1","1","—","—","1","—","—","—"
"О зажигательстве 1606—1915","39","44","3","—","—","—","—","—","—","—","—","2","1","20","*"
"О происшествиях","425","—","—","—","—","—","—","—","—","—","—","—","—","—","—"
"О преступлениях по службе гос. и обществ. 329—505","98","168","—","5","—","47","—","1","—","—","—","15","—","50","—"
"О нарушении постановлений об актах сост. 1441—1445","1","1","—","—","—","—","—","—","—","1","—","—","—","—","—"
"О преступлениях против чести и целомудрия 1523—1532","84","99","—","—","—","1","—","—","—","—","—","4","—","74","—"
"Об оскорблении присутственных мест 276—288","23","24","4","1","—","2","—","—","—","1","—","9","2","10","*"
"О нарушении постановлений о питейном сборе 665—714","39","30","18","—","—","—","—","—","—","—","—","7","3","15","10*"
"О мошенничестве 1665—1676","7","7","—","—","—","—","—","—","—","—","—","4","—","2","—"
"О сопротивлении распоряжениям власти 262—275","32","248","8","—","—","—","—","—","—","—","—","1","—","166","*"
"О нарушении уставов монетных 556—578","10","19","3","—","—","—","—","—","—","—","—","1","—","4","*"
"О лживых доносах и лжесвидетельстве 939—946","26","30","5","—","—","1","1","—","—","1","—","5","—","15","*"
"О проступках по договорам и обязательствам 1686—1711","10","10","2","—","—","—","—","1","—","—","—","3","1","6","*"
"О разбое 1627—1636","16","26","2","—","—","—","—","1","—","—","—","3","—","15","*"
"О бродяжестве 950—974","8","9","—","—","—","—","—","—","—","—","—","2","—","2","—"
"О подложных на жительство видах 975—977","7","10","1","—","—","—","—","—","—","—","—","—","—","6","*"
"О запрещенных играх и лотереях 990—992","1","1","1","—","—","—","—","—","—","—","—","—","—","1","—"
"О присвоении чужой собственности и растрате 1677—1685","14","17","2","—","—","1","2","—","—","—","—","6","1","7","—"
"О преступлениях против союза брачного 1549—1585","28","28","3","1","—","—","—","—","—","—","—","2","—","16","*"
