"М.","Жен.","Иностранн. подданных: М.","Иностранн. подданных: Жен.","Инородцев: М.","Инородцев: Жен.","Поселенцев: М.","Поселенцев: Жен.","Ссыльно-каторжных: М.","Ссыльно-каторжных: Жен.","Ниже 17 лет: М.","Ниже 17 лет: Жен.","17—20 лет: М.","17—20 лет: Жен.","21—30 лет: М.","21—30 лет: Жен.","31—40 лет: М.","31—40 лет: Жен.","41—50 лет: М.","41—50 лет: Жен.","51—60 лет: М.","51—60 лет: Жен.","Свыше 60 лет: М.","Свыше 60 лет: Жен."
"*","*","—","—","—","—","—","—","—","—","—","—","—","—","—","—","1","—","1","—","2","2","—","2"
"*","*","—","—","—","—","—","—","—","—","—","—","—","—","—","—","3","—","—","—","—","—","1","—"
"*","*","—","—","—","—","—","—","—","—","—","—","—","—","1","—","3","1","3","—","2","—","1","—"
"*","*","—","—","—","—","—","—","—","—","—","—","—","—","5","—","7","1","1","1","—","—","—","—"
"*","*","—","—","—","—","—","—","—","—","—","—","—","—","1","—","4","—","1","—","—","—","1","—"
"*","*","—","—","—","—","—","—","—","—","—","—","1","—","5","—","6","1","1","—","1","2","1","1"
"*","*","—","—","—","—","—","—","—","—","1","—","1","—","2","2","4","2","1","—","1","1","1","—"
"*","*","—","—","—","—","—","—","—","—","—","—","—","—","—","—","1","—","1","—","—","—","1","—"
"*","*","—","—","1","1","32","1","—","—","5","1","13","4","76","16","115","28","60","11","41","11","20","5"
"*","*","3","—","17","3","473","4","2","—","21","7","119","29","698","70","768","74","426","46","205","21","108","9"
