"Таблица 1: ЧРЕЗ Г. АЧИНСК В 1895 ГОДУ"
"Раздел","*","Самовольно","Ачинский округ","Минусинский округ","Красноярский округ","Канский округ","Иркутскую губернию","Приамурский край","Денежными ссудами: Число семей","Денежными ссудами: На сумму (руб)","Лечением: Число душ","Продовольствием: Число семей (бесплатно)"
"Значения","*","140","392","15","4","133","3","259","538","2 828","414","243"
"В %","*","17,2","14,7","1,4","0,2","16,5","0,8","32,1","66,7","—","9,3","30,8"

"Таблица 2: В АЧИНСКОМ ОКРУГЕ В 1895 ГОДУ"
"Раздел","С разрешения","Самовольно","Денежными ссудами: Число семей","Денежными ссудами: На сумму","Лесом: Бесплатно","Лесом: За деньги","Хлебом в ссуду: На семена (семей)","Хлебом в ссуду: На продовольствие (семей)"
"Значения","374","102","254","20 063 руб.","—","—","38","—"
"В %","78,6","21,4","53,4","—","—","—","8,6","—"
