"Окладных сборов","Уездов и разрядов плательщиков","Недоимок на 1 янв 1895: Всего: Руб.","Недоимок на 1 янв 1895: Всего: Коп.","Недоимок на 1 янв 1895: В отчетном году: Руб.","Недоимок на 1 янв 1895: В отчетном году: Коп.","Недоимок на 1 янв 1895: В след. годы: Руб.","Недоимок на 1 янв 1895: В след. годы: Коп.","Оклад: Руб.","Оклад: Коп.","Подлежало в отчетном году: Недоимок: Руб.","Подлежало в отчетном году: Недоимок: Коп.","Подлежало в отчетном году: *: Руб.","Подлежало в отчетном году: *: Коп."
"Налог с недвиж. имуществ","По городам и пени","4 806","97 1/2","1 577","73 1/4","3 229","24","16 000","—","1 739","71 1/4","1 606","24"
"Межевой сбор (§ 1 ст. 7)","С крестьян старожилов","532","53","456","14 1/2","76","38 1/2","2 453","31","626","68 1/4","2 478","38 1/2"
"Межевой сбор (§ 1 ст. 7)","С крестьян из ссыльных","1 411","78 1/4","1 411","78 1/4","—","—","308","70","1 171","9","280","—"
"Межевой сбор (§ 1 ст. 7)","С крестьян из казаков","37","1/2","37","1/2","—","—","18","99","37","1/2","14","—"
"Межевой сбор (§ 1 ст. 7)","С крестьян административно сосланных","98","62 1/4","98","62 1/4","—","—","31","32","82","38 1/4","31","—"
"Межевой сбор (§ 1 ст. 7)","С оседлых инородцев","19","62 1/4","19","62 1/4","—","—","45","84","19","62 1/4","43","—"
"Межевой сбор (§ 1 ст. 7)","С купцов и мещан в селениях","1","4","1","4","—","—","1","77","3","74","1","—"
"Межевой сбор (§ 1 ст. 7)","С кочевых инородцев","81","—","81","—","—","—","202","29","3","98","201","—"
"Межевой сбор (§ 1 ст. 7)","ИТОГО","2 181","60 1/2","2 105","22","76","38 1/2","3 062","22","1 944","50 1/2","3 051*","38 1/2"
"Губернская повинность","С крестьян старожилов","8 295","21","7 415","68 1/2","789","52 1/2","13 417","20","11 217","65 1/4","13 486*","52 1/2"
"Губернская повинность","С крестьян из ссыльных","39 065","23","39 065","23","—","—","663","40","30 585","82 1/4","590","—"
"Губернская повинность","С крестьян из казаков","2","14 1/2","2","14 1/2","—","—","—","—","2","14 1/2","—","—"
"Губернская повинность","С оседлых инородцев","39","5","39","5","—","—","116","18","39","5","116","—"
"Губернская повинность","С купцов и мещан в селениях","62","92","62","92","—","—","1","2","158","37 1/4","2","—"
"Губернская повинность","С кочевых инородцев","50","97 1/2","50","97 1/2","—","—","17","24","50","97 1/2","17","—"
"Губернская повинность","С поселенцев полного оклада","53 074","5 1/2","53 074","5 1/2","—","—","9 653","27","41 513","21 1/4","8 751","—"
"Губернская повинность","С удобных земель сельских обществ","1 668","68 1/4","1 668","68 1/2","—","—","112 371","61","1 745","6 1/4","112 743","—"
"Губернская повинность","С прочих сословий с мещан городов","21 630","27","21 630","27","—","—","14 165","14","20 919","61 1/4","1 411","—"
"Губернская повинность","с Турух. краем","36","89","36","89","—","—","465","72","36","89","461","—"
