"Наименование преступлений","Число преступлений и дел","Число осужденных: М.","Число осужденных: Ж.","Дворян потомственных: М.","Дворян потомственных: Ж.","Дворян личных: М.","Дворян личных: Ж.","Почетных граждан и купцов: М.","Почетных граждан и купцов: Ж.","Духовного звания: М.","Духовного звания: Ж.","Мещан: М.","Мещан: Ж.","Крестьян: М.","Крестьян: Ж."
"О клевете и оскорбительных сочинениях 1535—1539","3","3","—","—","—","1","—","—","—","—","—","1","—","1","—"
"О нарушении уст. торговых 116—1345","5","3","2","—","—","—","—","1","—","—","—","2","—","—","2"
"О нарушении постановлений о гербовом сборе 579—590","1","1","—","—","—","—","—","—","—","—","—","—","—","—","—"
"О произвольном оставлении человека в опасности 1513—1522","4","7","—","—","—","—","—","—","—","—","—","3","—","2","—"
"О взломе тюрем, уводе и побеге 308—317","4","7","—","—","—","—","—","—","—","—","—","—","—","1","—"
"О нарушении устава горного 591—622","7","7","—","—","—","—","—","3","—","—","—","4","—","—","—"
"О преступлениях против общественной нравственности 993—1003","18","18","—","—","—","—","—","—","—","—","—","2","—","9","—"
"О святотатстве 219—235","5","10","—","—","—","—","—","—","—","—","—","2","—","6","—"
"О похищении бумаг, сорвании печатей 303—307","4","4","—","—","—","—","—","—","—","—","—","—","—","3","—"
"О книгопечатании 1008—1048","1","1","—","—","—","—","—","—","—","—","—","1","—","—","—"
"О преступлениях против веры 176—218","11","52","38","—","—","—","—","—","—","—","—","—","—","43","35*"
"О самовольном присвоении власти 289—302","5","5","—","—","—","—","—","—","—","—","—","1","—","2","—"
"Об угрозах 1545—1548","2","2","1","—","—","1","1","—","—","—","—","1","—","—","—"
"О лжеприсяге 236—240","112","176","12","9","—","1","1","3","—","—","—","35","2","90","*"
"О нанесении увечий и ран 1477—1496","5","5","—","—","—","—","—","—","—","—","—","—","—","1","—"
"О нарушении уставов почтового и телеграфного 1098—1148","4","7","3","—","—","—","—","—","—","—","—","—","—","6","*"
"О непосредственных личных оскорблениях 1533—1534","1","1","—","—","—","—","—","—","—","—","—","1","—","—","—"
"О нарушении правил общественных выборов 1424—1440","1","1","—","—","—","—","—","—","—","—","—","—","—","1","—"
"Об уклонении от воинской повинности 506—511","1 816","2 015","180","11","2","59","2","12","1","4","—","269","22","1 118","14*"
"О краже 169—172","112","119","29","1","—","1","—","2","—","—","—","27","8","63","17"
"Об оскорблении чести 130—138","66","47","21","1","1","1","2","—","1","—","—","25","15","12","2*"
"О мошенничестве и присвоении чужого 173—181","57","59","9","1","—","2","—","—","—","—","—","15","4","29","4"
"Об угрозах и насилии 139—142","29","39","1","1","—","2","—","1","—","—","—","15","1","16","—"
