"М.","Жен.","Иностранн. подданных: М.","Иностранн. подданных: Жен.","Инородцев: М.","Инородцев: Жен.","Поселенцев: М.","Поселенцев: Жен.","Ссыльно-каторжных: М.","Ссыльно-каторжных: Жен.","Ниже 17 лет: М.","Ниже 17 лет: Жен.","17—20 лет: М.","17—20 лет: Жен.","21—30 лет: М.","21—30 лет: Жен.","31—40 лет: М.","31—40 лет: Жен.","41—50 лет: М.","41—50 лет: Жен.","51—60 лет: М.","51—60 лет: Жен.","Свыше 60 лет: М.","Свыше 60 лет: Жен."
"*","*","—","—","4","—","76","1","—","—","2","1","30","5","86","16","110","9","72","14","30","1","21","—"
"*","*","—","—","3","—","58","1","2","—","—","—","5","2","52","4","41","4","16","1","10","1","7","—"
"*","*","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—"
"*","*","—","—","—","—","8","—","—","—","6","1","13","5","186","3","107","—","5","—","1","—","1","—"
"*","*","—","—","—","—","—","—","—","—","—","—","—","1","2","1","1","—","1","—","1","—","1","—"
"*","*","—","—","—","—","30","—","—","—","—","—","2","—","49","1","46","2","21","—","1","—","1*","—"
"*","*","—","—","—","—","—","—","—","—","—","—","—","—","—","—","1","—","2","—","—","—","—","—"
"*","*","—","—","2","—","20","—","—","—","—","—","1","—","11","1","18","1","24","1","6","—","4","—"
"*","*","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—"
"*","*","—","—","3","—","40","—","—","—","—","—","2","—","32","—","68","—","45","—","20","—","3","—"
"*","*","—","—","—","—","—","—","—","—","—","—","—","—","—","—","1","—","—","—","—","—","—","—"
"*","*","—","—","3","—","15","—","—","—","3","—","19","—","41","—","21","—","9","—","5","—","1","—"
"*","*","—","—","—","1","—","1","—","—","—","1","—","7","2","5","1","5","—","6","—","1","—"
"*","*","—","—","—","—","3","—","—","—","—","—","—","—","4","2","11","6","7","4","4","2","4","2"
"*","*","—","—","—","—","—","—","—","—","—","—","—","—","4","2","—","—","—","—","—","—","—","—"
"*","*","—","—","—","—","80","—","—","—","—","1","1","1","52","2","80","2","67","1","30","—","18","2"
"*","*","—","—","—","—","14","—","—","—","—","—","—","—","4","1","8","2","4","—","2","—","1","—"
"*","*","—","—","—","—","7","—","—","—","—","—","—","—","1","—","12","4","13","—","3","1","1","—"
"*","*","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—"
"*","*","—","—","—","—","8","—","—","—","—","—","2","—","17","1","3","—","2","2","3","—","1","—"
"*","*","—","—","—","—","7","—","—","—","—","—","—","—","—","—","—","—","2","2","1","—","2","—"
"*","*","—","—","—","—","4","—","—","—","—","—","—","—","1","1","4","—","1","—","3","—","1","—"
"*","*","—","—","—","1","—","—","—","—","—","—","—","—","—","—","1","1","—","—","—","—","—","—"
"*","*","—","—","—","—","1","—","—","—","—","—","2","—","2","—","5*","2","7","—","—","—","1","—"
"*","*","—","—","—","—","4","—","—","—","—","—","2","2","3","1","11","—","8","—","3","—","1","—"
