"Название больниц","Оставалось к 1895 г.","В 1895 году: Заболело","В 1895 году: Выздоровело","В 1895 году: Умерло","Осталось к 1896 г."
"Красноярская","178","1 221","1 228","86","85"
"Канская","54","397","369","25","57"
"Ачинская","85","1 141","1 056","67","103"
"Минусинская","17","175","160","6","26"
"Енисейская","24","227","212","8","31"
"Итого","358","3 161","3 025","192","302"
