"Поступило в казну губернии: Руб.","Поступило в казну губернии: Коп.","Зачтено за прежние годы: Руб.","Зачтено за прежние годы: Коп.","Исключено по др. губерниям: Руб.","Исключено по др. губерниям: Коп.","Итого: Руб.","Итого: Коп.","Поступило будущих лет: Руб.","Поступило будущих лет: Коп.","Недоимки 1896: Подлежащие: Руб.","Недоимки 1896: Подлежащие: Коп.","Недоимки 1896: В след. отчетном: Руб.","Недоимки 1896: В след. отчетном: Коп.","Недоимки 1896: ВСЕГО: Руб.","Недоимки 1896: ВСЕГО: Коп."
"17 132","14","—","—","—","—","17 132","14","—","—","1 145","78 1/2","2 691","3","3 836","81 1/2"
"2 588","17 1/2","21","29","—","—","2 609","46 1/2","23","5","495","6 3/4","76","38 1/2","571","65 1/4"
"371","42 1/4","5","98 1/2","—","—","377","40 3/4","2","10 1/4","1 073","86 1/4","—","—","1 073","80 1/2"
"51","29","—","—","—","—","51","29","—","16 1/2","4","42","—","—","4","42"
"19","20 3/4","—","37 1/2","—","—","19","58 1/4","—","8 1/2","93","84 3/4","—","—","93","84 3/4"
"46","58","—","28 1/2","—","—","16","86 1/2","—","49 1/2","18","60","—","—","18","60"
"2","13","—","—","—","—","2","13","—","1","3","59","—","—","3","59"
"204","87","—","2","—","—","204","89","—","—","1","38","—","—","1","38"
"3 283","67 1/4","27","95 1/4","—","—","3 311","63","25","91 1/2","1 690","96 3/4","76","38 1/2","1 767","35"
"16 597","84","53","83","—","—","16 651","67","7","85 1/4","7 166","72","879","52 1/2","8 046","24 1/2"
"4 648","14 3/4","33","69","—","—","4 681","83 3/4","1","18 1/2","26 494","51 1/4","—","—","26 494","51 1/4"
"—","—","—","—","—","—","—","—","—","—","2","14 1/2","—","—","2","14 1/2"
"111","23","—","37 1/2","—","—","111","60 1/4","1","7 1/2","43","62 1/4","—","—","43","62 1/4"
"29","55","1","82","—","—","31","37","—","—","129","73","—","12","129","73"
"44","51","—","—","—","—","44","51","—","—","23","70 3/4","—","—","23","70 3/4"
"5 539","72","125","9 1/4","—","—","5 664","81 1/4","105","32 1/4","14 599","44","—","—","14 599","44"
"111 790","1","139","47 1/4","—","—","111 929","48 1/4","435","60 1/2","2 564","20","—","—","2 564","20"
"14 412","49","2","94","—","—","14 415","43","—","—","20 621","2 3/4","—","—","20 621","2 3/4"
"438","59","—","—","—","—","438","59","—","—","64","2","—","—","64","2"
